label,type,test_balanced_accuracy_mean,test_f1_weighted_mean,test_precision_mean,test_recall_mean
contains_even,deepsets_mlp_fspool,0.5075321559197951,0.4350221827066255,0.44345556776779527,0.51305
contains_even,deepsets_mlp_sum,0.5082582419425736,0.41946218047389294,0.414908639139289,0.513275
contains_even,mlp,0.5077812545973086,0.5059953690166705,0.5103092510998817,0.513725
contains_even,pna,0.5085230523147717,0.4535314791817589,0.5068701567530545,0.51625
contains_even,small_set_transformer,0.6859136390928359,0.6653423500737293,0.740502210898493,0.695725
contains_even,sorted_mlp,0.5084569694600553,0.4648152128380228,0.5007211254354761,0.5139750000000001
mode,deepsets_mlp_fspool,0.03142429413381817,0.02380831066447082,0.03106436291484902,0.032025
mode,deepsets_mlp_sum,0.01572429403181934,0.008063656655981332,0.007573542585930333,0.016375
mode,mlp,0.007328583269220173,0.005080668843135743,0.008348055060849983,0.006475
mode,pna,0.019289722631936245,0.013090023807264232,0.015677168460643348,0.02085
mode,small_set_transformer,0.04545493199523852,0.03427808668079009,0.048348064812004064,0.044975
mode,sorted_mlp,0.016744932682367448,0.01052879015179503,0.012935128448228354,0.0158
