type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_precision,test_recall,avg_test_loss
deepsets_mlp_fspool,1,8,16401,8,-100,100,mode,True,10000,1000,1000,119.7436,42.501897122834414,0,200,121.0,102,7.15142217056767,1.5935304164886475,119.326,43.484545806527635,2,200,122.0,107,7.997574851326865,1.5713962316513062,121.536,41.922460614806475,0,200,123.0,109,8.010913978734623,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,161,2.4876769460158803,2.9218712151050568,0.151,0.15612497907349396,0.12064149597099132,0.1546834499330979,0.151,2.920680269598961
deepsets_mlp_fspool,1,8,17297,16,-100,100,mode,True,10000,1000,1000,116.0295,39.841521428655305,0,200,115.0,101,6.986846217661313,2.086803913116455,114.986,39.542885630666866,0,200,115.0,101,7.850758951214552,2.0597832202911377,116.575,39.92112692547644,0,200,115.0,101,7.952319540265149,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,31,3.7502412431047585,4.635305613279343,0.02,0.015730676328502412,0.013369803344108417,0.016821905455795063,0.02,4.616735994815826
deepsets_mlp_fspool,1,8,19089,32,-100,100,mode,True,10000,1000,1000,112.8575,43.990364783097675,0,200,113.0,101,7.159187897178912,2.649203062057495,113.18,45.9803175282642,0,200,113.0,102,8.06962547433255,2.618053913116455,112.204,43.69510709450201,0,200,113.0,106,8.024708978975802,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,24,4.172044819423021,4.921204835176468,0.016,0.012208116245383326,0.013928557414836605,0.01565291155988087,0.016,4.965050965547562
deepsets_mlp_fspool,1,8,22673,64,-100,100,mode,True,10000,1000,1000,114.3821,46.0220762198969,0,200,116.0,101,7.271298927111046,3.2619073390960693,116.416,44.38780174777751,0,200,116.0,102,8.146939000178348,3.2282028198242188,113.803,47.067379266324146,0,200,115.0,105,8.243689537899268,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,29,4.267661741709686,5.034225314855576,0.007,0.008235737837501554,0.005155834409235393,0.004357323625468786,0.007,5.090285152196884
deepsets_mlp_fspool,1,8,29841,128,-100,100,mode,True,10000,1000,1000,113.3551,48.416530276239335,0,200,116.0,101,7.419879908181046,3.906660556793213,112.126,49.366629660125675,0,200,115.0,102,8.260311612164152,3.873002052307129,112.956,50.65044979069781,0,200,116.0,101,8.397051040166469,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,30,4.5340080339840405,5.154293596744537,0.021,0.02025375315530756,0.012354256419604599,0.012083410649621434,0.021,5.115665316581726
deepsets_mlp_fspool,1,8,44177,256,-100,100,mode,True,10000,1000,1000,113.0303,50.58560251603217,0,200,118.0,102,7.499550314331362,4.571545124053955,111.654,51.17384374854013,0,200,117.0,105,8.460190745848461,4.538384914398193,114.506,50.13988396476402,0,200,118.0,101,8.41186311034047,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,36,4.91213934023945,5.160392910242081,0.013,0.014067606209150325,0.00599259187358402,0.004805265719895146,0.013,5.165879040956497
deepsets_mlp_fspool,1,8,72849,512,-100,100,mode,True,10000,1000,1000,111.6673,52.693967498282,0,200,118.0,107,7.588350333264448,5.248648166656494,111.231,51.36153851862306,0,200,117.0,102,8.543282237210908,5.216047763824463,112.787,52.19219894773548,0,200,117.0,108,8.49937663356377,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,42,5.24042009653096,5.268169850111008,0.007,0.004445266880500041,0.003194564727137797,0.003113257575757575,0.007,5.278059959411621
deepsets_mlp_fspool,1,8,130193,1024,-100,100,mode,True,10000,1000,1000,109.684,54.33625625675733,0,200,116.0,109,7.648197157979843,5.932857990264893,111.564,53.572604043484766,0,200,119.0,104,8.620047049278453,5.900405406951904,107.862,55.29172592712223,0,200,115.5,101,8.647021268311033,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,29,5.3079598562809265,5.300362050533295,0.009,0.005946337926033357,0.0009598762798634812,0.0005211589237478501,0.009,5.30131933093071
deepsets_mlp_fspool,1,8,6252,8,-100,100,contains_even,True,10000,1000,1000,0.4488,0.4973716517856642,0,1,0.0,0,0.9923358010303415,1.5979773998260498,0.401,0.49010100999691897,0,1,0.0,0,0.9707018590799534,1.5713353157043457,0.433,0.4954906659060289,0,1,0.0,0,0.9861462544718478,1.5927056074142456,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,19,0.684187349712164,0.6787325590848923,0.56,0.550044600852915,0.5590679033550899,0.5583529344106737,0.56,0.6806095391511917
deepsets_mlp_fspool,1,8,7148,16,-100,100,contains_even,True,10000,1000,1000,0.4815,0.49965763278468994,0,1,0.0,0,0.9989238795413682,2.0916099548339844,0.439,0.4962650501496151,0,1,0.0,0,0.9883699873164006,2.0607759952545166,0.465,0.4987734956871706,0,1,0.0,0,0.9955813037371506,2.085789442062378,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,ce,64,0.6860092906551858,0.6822388283908367,0.513,0.529383981509396,0.486350028246207,0.5409227428431612,0.513,0.6866616867482662
