type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
deepsets_mlp_sum,1,10,6315,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,47,13.430905307174488,8.463079333305359,9.604509353637695,1.798130750656128,1.1343317031860352,24.521072387695312,0.4092504382133484,0.966578001099427,9.480028927326202
deepsets_mlp_sum,1,10,6315,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,14,72.6664041956519,54.79034221172333,85.0496826171875,5.236981391906738,2.7903099060058594,63.507041931152344,1.2425850629806519,0.5427259220897906,86.94825506210327
deepsets_mlp_sum,1,10,6315,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,25,32.21779854889888,23.39641010761261,33.41206359863281,3.3290061950683594,1.934688687324524,45.46247482299805,0.9822676777839661,0.6168664249390557,33.24363857507706
deepsets_mlp_sum,1,10,6315,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,29,11.712699050356628,9.950592011213303,8.376112937927246,1.7664282321929932,1.003714680671692,16.949520111083984,1.2193280458450317,0.7825190508751302,8.459839940071106
pna,1,10,3253,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,27,17.10018913912925,15.250338435173035,16.555639266967773,2.8728325366973877,1.948862075805664,23.26470184326172,0.34261468052864075,0.9423892947912224,16.508469820022583
pna,1,10,3253,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,20,9.369525080273865,10.497637450695038,11.16575813293457,2.137599468231201,1.3873250484466553,23.406089782714844,0.6965920925140381,0.9399667168294685,11.27080649137497
pna,1,10,3253,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,-4.513059616088867,9.253870010375977,-84.86302185058594,4.595153331756592,-2.2634923458099365,4.189680099487305,20.693492865722284,1.7536474466323853,-4.581649303436279,9.024402618408203,-82.99349212646484,4.591831207275391,-2.5212254524230957,4.189680099487305,16.097857549725294,1.768372893333435,-4.3268656730651855,9.33848762512207,-63.743492126464844,4.591831207275391,-1.89459228515625,4.189680099487305,15.943096625814913,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,32,8.634750231056456,8.912095934152603,9.095303535461426,1.9877785444259644,1.347496509552002,23.111804962158203,1.21992826461792,0.8957048366388697,8.985332787036896
pna,1,10,3253,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,-1.2586768865585327,6.837418079376221,-63.93666458129883,4.590157985687256,0.7820438742637634,4.302468776702881,19.784513728664365,1.7536474466323853,-1.4349937438964844,6.889420509338379,-52.84657669067383,4.587666988372803,0.6837325692176819,4.302468776702881,15.814639626876097,1.768372893333435,-0.8727447986602783,6.205984592437744,-34.855220794677734,4.587666988372803,1.0638151168823242,4.302468776702881,15.475910776916322,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,19,12.147065238588175,12.237813979387283,10.271130561828613,2.1257259845733643,1.4035027027130127,18.99776840209961,2.3038456439971924,0.7333160263570917,10.315054923295975
sorted_mlp,1,10,3153,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,-29.18798065185547,16.464067459106445,-95.39482879638672,4.605170249938965,-28.229591369628906,-6.284829616546631,22.33533171075559,1.7536474466323853,-28.663358688354492,16.29711151123047,-95.39482879638672,4.595170021057129,-28.447330474853516,-37.64482879638672,17.462780835581704,1.768372893333435,-29.096498489379883,16.952016830444336,-95.39482879638672,4.595170021057129,-28.28483009338379,-11.394829750061035,17.50819559170465,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,24,24.579540683965014,25.382365942001343,26.587976455688477,3.9298360347747803,3.260782241821289,27.222312927246094,1.1364271640777588,0.9074785271668346,26.716651260852814
sorted_mlp,1,10,3153,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,-11.384041786193848,12.652153015136719,-88.25012969970703,4.600157737731934,-9.268468856811523,3.9069979190826416,21.855500703982475,1.7536474466323853,-11.19681167602539,12.352303504943848,-93.97486877441406,4.595170021057129,-9.50273323059082,3.9069979190826416,16.64653150821105,1.768372893333435,-11.7045259475708,13.637917518615723,-93.97486877441406,4.595170021057129,-9.246463775634766,3.9069979190826416,16.701676787838213,1.7461247444152832,500,5,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,37,20.448967690680437,18.40452617406845,24.518192291259766,3.1997270584106445,2.0512804985046387,37.399024963378906,1.1695013046264648,0.8681766665674945,24.276032269001007
