type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6315,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.92043685913086,16.427610397338867,-95.39482879638672,4.605170249938965,-27.884830474853516,-1.6448298692703247,22.12239783630994,1.7412289381027222,-27.956777572631836,15.132845878601074,-89.48483276367188,4.5651702880859375,-27.195871353149414,-0.23482981324195862,17.55336460679393,1.7756892442703247,-28.079023361206055,15.167856216430664,-89.48483276367188,4.605170249938965,-27.316566467285156,-31.674829483032227,17.576805950367582,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,164,0.0497947043270632,0.0338033577427268,0.036035988479852676,0.1484430432319641,0.11963081359863281,0.6919479370117188,0.018094554543495178,0.9998433652779543,0.015761151909828186,0.01190971676260233,0.035895746550522745
deepsets_ds1t,1,5,6566,10,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.92043685913086,16.427610397338867,-95.39482879638672,4.605170249938965,-27.884830474853516,-1.6448298692703247,22.12239783630994,1.7412289381027222,-27.956777572631836,15.132845878601074,-89.48483276367188,4.5651702880859375,-27.195871353149414,-0.23482981324195862,17.55336460679393,1.7756892442703247,-28.079023361206055,15.167856216430664,-89.48483276367188,4.605170249938965,-27.316566467285156,-31.674829483032227,17.576805950367582,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,55,0.049158090339961706,0.041187782771885395,0.039432983845472336,0.15908722579479218,0.13289546966552734,0.6153488159179688,0.011398563161492348,0.9998285998310188,0.011140000075101852,0.012763706967234612,0.039168387884274125
deepsets_mlp_sum,1,5,6315,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.101941108703613,12.537017822265625,-91.81491088867188,4.600157737731934,-9.132774353027344,3.9069979190826416,21.540096670605212,1.7412289381027222,-10.955400466918945,11.260998725891113,-72.57977294921875,4.580357551574707,-9.302620887756348,3.9069979190826416,16.894202439364705,1.7756892442703247,-10.783780097961426,11.243507385253906,-71.78300476074219,4.600157737731934,-9.05300235748291,3.9069979190826416,16.759315894277258,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,195,0.3860729559781445,0.45754214469343424,0.39700672030448914,0.4135497808456421,0.2924327850341797,5.739131927490234,0.18748974800109863,0.9968595333113205,0.08245093375444412,0.04410069063305855,0.3990977117791772
deepsets_ds1t,1,5,6566,10,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.101941108703613,12.537017822265625,-91.81491088867188,4.600157737731934,-9.132774353027344,3.9069979190826416,21.540096670605212,1.7412289381027222,-10.955400466918945,11.260998725891113,-72.57977294921875,4.580357551574707,-9.302620887756348,3.9069979190826416,16.894202439364705,1.7756892442703247,-10.783780097961426,11.243507385253906,-71.78300476074219,4.600157737731934,-9.05300235748291,3.9069979190826416,16.759315894277258,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,213,0.16564008518816178,0.1924670352600515,0.1573856920003891,0.27243152260780334,0.19440555572509766,3.26824951171875,0.0916891023516655,0.9987550222182732,0.06162097305059433,0.029051925987005234,0.15495805069804192
deepsets_mlp_sum,1,5,6315,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,True,True,-4.272716999053955,9.01522445678711,-91.78291320800781,4.595153331756592,-2.080789566040039,4.189680099487305,20.366017363856724,1.7412289381027222,-4.192290782928467,8.571244239807129,-65.80863952636719,4.581997394561768,-2.2881038188934326,3.4965076446533203,16.239772532288853,1.7756892442703247,-4.178731918334961,8.36900520324707,-54.29869842529297,4.595153331756592,-2.16744065284729,4.189680099487305,16.17916467942406,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,147,0.7851206612340205,0.5603288747370243,0.37358081340789795,0.3560463786125183,0.22148358821868896,5.946964263916016,0.4625145196914673,0.9946661987333314,0.1298246830701828,0.05433626100420952,0.3725130404345691
deepsets_ds1t,1,5,6566,10,-100,100,desperate_student_3_tuple,True,10000,1000,1000,True,True,-4.272716999053955,9.01522445678711,-91.78291320800781,4.595153331756592,-2.080789566040039,4.189680099487305,20.366017363856724,1.7412289381027222,-4.192290782928467,8.571244239807129,-65.80863952636719,4.581997394561768,-2.2881038188934326,3.4965076446533203,16.239772532288853,1.7756892442703247,-4.178731918334961,8.36900520324707,-54.29869842529297,4.595153331756592,-2.16744065284729,4.189680099487305,16.17916467942406,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,248,0.17808100218131284,0.1711301519535482,0.15095935761928558,0.24413663148880005,0.1498875617980957,3.0474395751953125,0.24368956685066223,0.9978446773517216,0.09714674204587936,0.03725770488381386,0.15121414000168443
deepsets_mlp_sum,1,5,6315,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,True,True,-1.115200161933899,6.76003360748291,-82.58118438720703,4.590157985687256,0.9916881322860718,4.302468776702881,19.507773722797225,1.7412289381027222,-1.0119889974594116,6.060577869415283,-59.206199645996094,4.5803070068359375,0.7510590553283691,3.896989583969116,15.79420542621958,1.7756892442703247,-1.071286678314209,6.409367561340332,-48.636199951171875,4.590157985687256,0.8971086740493774,4.302468776702881,15.711636709210053,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,127,0.35531555227698036,0.1245657482650131,0.20018628239631653,0.22032620012760162,0.12419509887695312,6.174701690673828,0.2230110764503479,0.9951269153822004,0.12468764930963516,0.04681677371263504,0.20273882802575827
deepsets_ds1t,1,5,6566,10,-100,100,desperate_student_4_tuple,True,10000,1000,1000,True,True,-1.115200161933899,6.76003360748291,-82.58118438720703,4.590157985687256,0.9916881322860718,4.302468776702881,19.507773722797225,1.7412289381027222,-1.0119889974594116,6.060577869415283,-59.206199645996094,4.5803070068359375,0.7510590553283691,3.896989583969116,15.79420542621958,1.7756892442703247,-1.071286678314209,6.409367561340332,-48.636199951171875,4.590157985687256,0.8971086740493774,4.302468776702881,15.711636709210053,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,168,0.1246748318670282,0.06169694592244923,0.09876890480518341,0.16507892310619354,0.08780515193939209,3.815906524658203,0.1691254824399948,0.997595693375938,0.09478240460157394,0.03507736697793007,0.09716132411267608
deepsets_mlp_sum,1,5,6315,10,-100,100,desperate_student_5_tuple,True,10000,1000,1000,True,True,0.5869647860527039,5.1794328689575195,-58.491539001464844,4.585170745849609,2.4786477088928223,4.362020492553711,18.848530613452265,1.7412289381027222,0.7172535061836243,4.466275691986084,-30.664306640625,4.577297687530518,2.2751452922821045,4.0743279457092285,15.540084208901037,1.7756892442703247,0.7344701290130615,4.73416805267334,-39.27435302734375,4.585170745849609,2.4631428718566895,4.362020492553711,15.446813836969106,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,177,0.11645233387329207,0.037073802610393614,0.06710547208786011,0.11889287084341049,0.0624673068523407,3.6127262115478516,0.10789970308542252,0.9970058707027735,0.0808296799659729,0.03422222286462784,0.06594119913643226
deepsets_ds1t,1,5,6566,10,-100,100,desperate_student_5_tuple,True,10000,1000,1000,True,True,0.5869647860527039,5.1794328689575195,-58.491539001464844,4.585170745849609,2.4786477088928223,4.362020492553711,18.848530613452265,1.7412289381027222,0.7172535061836243,4.466275691986084,-30.664306640625,4.577297687530518,2.2751452922821045,4.0743279457092285,15.540084208901037,1.7756892442703247,0.7344701290130615,4.73416805267334,-39.27435302734375,4.585170745849609,2.4631428718566895,4.362020492553711,15.446813836969106,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-results.csv,mse,False,173,0.08163870534129963,0.0612506220350042,0.06473567336797714,0.12784838676452637,0.06252801418304443,2.846536636352539,0.13237112760543823,0.9971116070845393,0.09309033304452896,0.03679997846484184,0.06828828190919012
