type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
mlp,1,5,3053,8,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,74.78810119628906,103.06764221191406,-265.0,295.0,80.0,99.0,9.04354902123216,1.5935304164886475,71.02300262451172,104.79594421386719,-231.0,281.0,78.0,-8.0,10.982794108331248,1.5713961124420166,71.56900024414062,106.84083557128906,-251.0,295.0,73.0,94.0,11.004498627520366,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,144,48.90811722141922,60.94952070713043,80.45002746582031,5.140209197998047,2.4577455520629883,87.1784896850586,23867292647424.0,0.992952230239405,0.10975559055805206,0.06008894369006157,81.22497642040253
sorted_mlp,1,5,3053,8,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,74.78810119628906,103.06764221191406,-265.0,295.0,80.0,99.0,9.04354902123216,1.5935304164886475,71.02300262451172,104.79594421386719,-231.0,281.0,78.0,-8.0,10.982794108331248,1.5713961124420166,71.56900024414062,106.84083557128906,-251.0,295.0,73.0,94.0,11.004498627520366,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,221,27.729659403205677,35.04254174232483,36.95970153808594,2.2387146949768066,0.4254302978515625,65.90950012207031,36887901241344.0,0.996762170768084,0.0740787461400032,0.026170529425144196,36.37049415707588
mlp,1,5,3453,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,141.3885955810547,106.35830688476562,-254.0,299.0,169.0,224.0,8.898633764545366,2.086803913116455,137.08299255371094,108.2621078491211,-219.0,291.0,168.0,203.0,10.744868987806825,2.0597832202911377,139.20599365234375,106.37792205810547,-257.0,298.0,166.5,225.0,10.680200718918197,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,147,154.964333844033,305.3686590194702,336.04632568359375,12.495277404785156,8.625900268554688,90.18583679199219,17368104304640.0,0.9703041240340372,0.12476600706577301,0.14290933310985565,335.4661750793457
sorted_mlp,1,5,3453,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,141.3885955810547,106.35830688476562,-254.0,299.0,169.0,224.0,8.898633764545366,2.086803913116455,137.08299255371094,108.2621078491211,-219.0,291.0,168.0,203.0,10.744868987806825,2.0597832202911377,139.20599365234375,106.37792205810547,-257.0,298.0,166.5,225.0,10.680200718918197,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,177,36.9286276701909,48.504458963871,62.530887603759766,2.790318250656128,0.53350830078125,88.6864242553711,69107676348416.0,0.9944742453119068,0.07654019445180893,0.03191305696964264,61.499690890312195
mlp,1,5,4253,32,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,196.2135009765625,96.94635009765625,-250.0,300.0,233.0,258.0,8.367679616726624,2.649203062057495,192.72799682617188,98.62287902832031,-202.0,297.0,230.0,265.0,9.7433524411516,2.618053913116455,191.7899932861328,99.5708236694336,-215.0,299.0,230.0,236.0,9.805820600272513,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,86,272.6952540403718,540.1054401397705,641.89990234375,18.13373374938965,13.491424560546875,202.50228881835938,0.14994663000106812,0.9352554741874793,0.12681548297405243,0.2466733455657959,670.951738357544
sorted_mlp,1,5,4253,32,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,196.2135009765625,96.94635009765625,-250.0,300.0,233.0,258.0,8.367679616726624,2.649203062057495,192.72799682617188,98.62287902832031,-202.0,297.0,230.0,265.0,9.7433524411516,2.618053913116455,191.7899932861328,99.5708236694336,-215.0,299.0,230.0,236.0,9.805820600272513,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,144,22.050134715808046,16.87816882133484,35.70038986206055,1.736868977546692,0.4420623779296875,71.38754272460938,0.06684776395559311,0.9963991191726457,0.04070383682847023,0.023626644164323807,38.05980488657951
mlp,1,5,5853,64,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,236.422607421875,79.77425384521484,-250.0,300.0,266.0,282.0,7.62644440933578,3.2619073390960693,233.25599670410156,81.268310546875,-202.0,300.0,266.0,282.0,8.672607061224301,3.2282028198242188,233.92599487304688,83.3924331665039,-154.0,300.0,266.0,289.0,8.49656192305356,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,82,270.14327691922523,732.7188148498535,767.6691284179688,21.68302345275879,17.800426483154297,114.61764526367188,0.13964547216892242,0.8896122872948657,0.1239774227142334,0.4074496328830719,766.8984069824219
sorted_mlp,1,5,5853,64,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,236.422607421875,79.77425384521484,-250.0,300.0,266.0,282.0,7.62644440933578,3.2619073390960693,233.25599670410156,81.268310546875,-202.0,300.0,266.0,282.0,8.672607061224301,3.2282028198242188,233.92599487304688,83.3924331665039,-154.0,300.0,266.0,289.0,8.49656192305356,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,103,25.527652415025766,35.5810030028224,27.366289138793945,1.57367742061615,0.6893157958984375,59.662654876708984,0.04961525648832321,0.99606483825407,0.032074522227048874,0.029571259394288063,27.571336209774017
mlp,1,5,9053,128,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,261.89300537109375,63.45639419555664,-239.0,300.0,283.0,295.0,6.756499527563806,3.906660556793213,260.8659973144531,58.91181564331055,-220.0,300.0,283.0,292.0,7.526468255779805,3.873002052307129,258.0379943847656,68.2776870727539,-175.0,300.0,283.0,288.0,7.491285335251291,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,60,277.9375192435684,885.5581016540527,913.5111694335938,23.861209869384766,20.16900634765625,120.54307556152344,0.14713311195373535,0.8040450399854963,0.11686090379953384,0.6509456634521484,909.738525390625
sorted_mlp,1,5,9053,128,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,261.89300537109375,63.45639419555664,-239.0,300.0,283.0,295.0,6.756499527563806,3.906660556793213,260.8659973144531,58.91181564331055,-220.0,300.0,283.0,292.0,7.526468255779805,3.873002052307129,258.0379943847656,68.2776870727539,-175.0,300.0,283.0,288.0,7.491285335251291,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,sorted-vs-non-sorted-mlp-results.csv,mse,False,129,16.70433147356009,10.348444437608123,24.18814468383789,0.9767705202102661,0.1396484375,87.6930160522461,0.03994270786643028,0.994811462603945,0.019306281581521034,0.02664678543806076,23.86387949064374
