type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6921,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,109,0.022730486517161082,0.0030115719891909976,0.003348346333950758,0.03721754997968674,0.02231597900390625,0.3253173828125,197293113344.0,0.9999998860365436,0.004797734320163727,0.0002882345870602876,0.0033440749321016483
deepsets_mlp_fspool,1,5,7097,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,38,1.085254639197307,0.529059736058116,0.8394229412078857,0.5449099540710449,0.37526893615722656,12.186492919921875,4160636846080.0,0.9999714296152457,0.01468088012188673,0.004220104310661554,0.827798917889595
sorted_mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,175,0.06809005707170174,0.06856578041333705,0.08358002454042435,0.17536187171936035,0.08988666534423828,2.21441650390625,710731169792.0,0.9999971552917232,0.0070030223578214645,0.001358105568215251,0.08370952983386815
mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,249,0.014988756026764204,0.028531277203001082,0.030811680480837822,0.10801591724157333,0.0569915771484375,1.3849430084228516,520498511872.0,0.99999895130152,0.010397663339972496,0.0008365387911908329,0.03105386724928394
pna,1,5,3253,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,169,0.43733338375759734,0.490890147164464,0.9933185577392578,0.49987316131591797,0.34550952911376953,22.439697265625,4407365730304.0,0.9999661916626599,0.016703441739082336,0.0038713121321052313,0.9759421832859516
small_set_transformer,1,5,37953,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,298,0.002203848835816429,0.0025159156211884692,0.0034646724816411734,0.0411345511674881,0.0292816162109375,0.44384765625,370230198272.0,0.9999998820773024,0.005711332894861698,0.0003185701498296112,0.0034724391880445182
mean_baseline,1,5,0,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,1,28274.987284389998,27002.661818409997,29381.111470210002,128.463,95.3669,644.6331,3304741406565.469,-7.969782778172174e-06,1.9789508951069945,0.9948930570251844,29381.111470210002
deepsets_mlp_sum,1,5,6921,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,229,5.887577336305266,6.224451646208763,6.576598644256592,1.9249484539031982,1.5084686279296875,10.173583984375,0.042701058089733124,0.9986871982876996,0.03994468227028847,0.03417474776506424,6.617369562387466
deepsets_mlp_fspool,1,5,7097,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,149,6.625189964938316,6.950184613466263,8.170812606811523,1.959134578704834,1.2601470947265625,16.20819091796875,0.027124561369419098,0.9983689658247238,0.027346529066562653,0.03478167578577995,8.14250272512436
sorted_mlp,1,5,3453,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_everything.csv,mse,True,175,9.892426257347985,13.698577556759119,11.80827522277832,0.9931910634040833,0.4175262451171875,68.94007873535156,0.0423935241997242,0.9976428659017615,0.03843573108315468,0.017632709816098213,11.543419815599918
