type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,3053,8,-100,100,longest_seq_length,True,10000,1000,1000,1.1437000036239624,0.36421188712120056,1.0,4.0,1.0,1.0,0.6129390461158177,1.5935304164886475,1.1260000467300415,0.3318493664264679,1.0,2.0,1.0,1.0,0.5466560921316164,1.5713962316513062,1.1519999504089355,0.38327011466026306,1.0,4.0,1.0,1.0,0.6531388175565326,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,70,0.10898900535076288,0.10445330245420337,0.12930886447429657,0.22322295606136322,0.12084496021270752,2.6548714637756348,0.16342662274837494,0.11972508403299731,0.12857878534123302
mlp,1,8,3453,16,-100,100,longest_seq_length,True,10000,1000,1000,1.4402999877929688,0.5853511095046997,1.0,5.0,1.0,1.0,1.1783930297983656,2.086803913116455,1.4179999828338623,0.5824741125106812,1.0,4.0,1.0,1.0,1.1672353764941201,2.0597832202911377,1.4620000123977661,0.6344730257987976,1.0,7.0,1.0,1.0,1.2417172636717297,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,38,0.193135516041783,0.24638217221945524,0.2939370274543762,0.37135711312294006,0.27182722091674805,4.940695285797119,0.2536424398422241,0.26982324844631034,0.2940655085258186
mlp,1,8,4253,32,-100,100,longest_seq_length,True,10000,1000,1000,1.9744000434875488,0.8542508482933044,1.0,7.0,2.0,2.0,1.7399923266063564,2.649203062057495,1.9279999732971191,0.8454679846763611,1.0,6.0,2.0,2.0,1.7320136595093967,2.618053913116455,1.972000002861023,0.8504210114479065,1.0,5.0,2.0,2.0,1.7463447124691536,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,24,0.27254057006471477,0.4465136844664812,0.4164901375770569,0.4828159809112549,0.36400318145751953,3.038405418395996,0.25721442699432373,0.42411374403615076,0.41413031332194805
mlp,1,8,5853,64,-100,100,longest_seq_length,True,10000,1000,1000,2.9296000003814697,1.385223388671875,1.0,11.0,3.0,3.0,2.4359469094903208,3.2619073390960693,2.8570001125335693,1.4044753313064575,1.0,9.0,3.0,3.0,2.4585546237497504,3.2282028198242188,2.937000036239624,1.3953605890274048,1.0,8.0,3.0,3.0,2.4596342710002075,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,17,0.4191254375466875,0.8966564424335957,0.877763569355011,0.6941282153129578,0.5264732241630554,4.609253883361816,0.25731319189071655,0.549178421676195,0.8726147264242172
mlp,1,8,9053,128,-100,100,longest_seq_length,True,10000,1000,1000,4.934000015258789,2.714782476425171,1.0,20.0,5.0,3.0,3.372050198846428,3.906660556793213,4.853000164031982,2.7300899028778076,1.0,16.0,4.0,2.0,3.404388278445968,3.873002052307129,4.816999912261963,2.633535861968994,1.0,15.0,5.0,2.0,3.372896697049015,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,19,0.5750043378893737,2.5448812544345856,2.573423147201538,1.1510859727859497,0.8028673529624939,9.033853530883789,0.2522560954093933,0.6289497522236713,2.556598111987114
mlp,1,8,15453,256,-100,100,longest_seq_length,True,10000,1000,1000,10.493000030517578,7.287753582000732,1.0,58.0,9.0,3.0,4.687662498247126,4.571545124053955,10.395000457763672,7.54565954208374,1.0,39.0,9.0,2.0,4.8003254173790255,4.538384914398193,10.220000267028809,7.07513952255249,1.0,42.0,9.0,6.0,4.788611977115845,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,18,1.3643516818429255,14.697877913713455,13.41765022277832,2.4193766117095947,1.4800682067871094,23.29918098449707,0.2591116428375244,0.7319557597828259,13.342435896396637
mlp,1,8,28253,512,-100,100,longest_seq_length,True,10000,1000,1000,34.846500396728516,33.338768005371094,1.0,265.0,23.0,3.0,6.641225265239276,5.248648166656494,34.19499969482422,33.466773986816406,1.0,216.0,23.0,3.0,7.1342549443501575,5.216047763824463,34.867000579833984,34.087581634521484,1.0,240.0,23.0,2.0,7.229940123859755,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,31,13.30734845483379,278.36266326904297,303.6136779785156,9.978507995605469,4.977243423461914,178.37966918945312,0.3133273720741272,0.7387063033380666,303.0699644088745
mlp,1,8,53853,1024,-100,100,longest_seq_length,True,10000,1000,1000,211.9925994873047,251.1483917236328,1.0,1024.0,101.0,5.0,9.738914235940769,5.932857990264893,206.8679962158203,252.70068359375,1.0,1015.0,90.5,4.0,11.366536871651864,5.900405406951904,209.26100158691406,249.65069580078125,1.0,1024.0,103.0,2.0,11.497143443870357,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,67,545.4287624480618,14548.147216796875,14209.2958984375,66.00161743164062,21.373321533203125,575.4561157226562,0.8651167750358582,0.772014616749381,14180.277435302734
mlp,1,8,3053,8,-100,100,largest_contiguous_sum,True,10000,1000,1000,106.52839660644531,94.77655029296875,-100.0,580.0,97.0,98.0,8.95812421494986,1.5935304164886475,102.54299926757812,98.34735107421875,-98.0,437.0,93.0,33.0,10.863621296425503,1.5713962316513062,105.51200103759766,100.7816390991211,-100.0,488.0,92.0,69.0,10.858113864917204,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,82,11.68713854148889,7.785856142640114,10.494976997375488,1.1086149215698242,0.5590000152587891,54.668270111083984,5743924740096.0,0.9989667184748389,10.269325204193592
mlp,1,8,3453,16,-100,100,largest_contiguous_sum,True,10000,1000,1000,209.327392578125,153.24949645996094,-100.0,819.0,191.0,156.0,9.8340131138317,2.086803913116455,202.9409942626953,150.5286407470703,-100.0,697.0,189.0,33.0,12.09913185392815,2.0597832202911377,207.7729949951172,156.00286865234375,-98.0,724.0,185.0,76.0,12.232210145040867,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,116,7.223204498837708,9.286781251430511,4.545661449432373,1.1425188779830933,0.7942352294921875,36.298255920410156,58017747828736.0,0.9998132193231227,4.583890341222286
mlp,1,8,4253,32,-100,100,largest_contiguous_sum,True,10000,1000,1000,410.1853942871094,268.93426513671875,-100.0,1450.0,391.0,97.0,11.022380102027679,2.649203062057495,406.0820007324219,273.1595764160156,-99.0,1249.0,385.0,392.0,13.996274598263215,2.618053913116455,398.22601318359375,267.8840637207031,-94.0,1170.0,372.5,94.0,13.842227037227623,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,239,194.94731951671042,368.6652355194092,445.69207763671875,13.809294700622559,7.048065185546875,93.90032958984375,0.1028004065155983,0.993789291250515,442.2218475341797
mlp,1,8,5853,64,-100,100,largest_contiguous_sum,True,10000,1000,1000,806.3980712890625,495.7025451660156,-100.0,2595.0,784.0,202.0,12.608618163964742,3.2619073390960693,789.2869873046875,505.3406677246094,-94.0,2111.0,772.5,331.0,15.504471836460707,3.2282028198242188,798.072021484375,504.1612854003906,-90.0,2214.0,781.0,195.0,15.431210621879185,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-regression.csv,mse,60,1493.607403603329,5102.018463134766,4753.02001953125,48.48288345336914,33.13848876953125,336.921142578125,0.11062506586313248,0.9813004715434329,4718.0457763671875
