type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,3053,8,-100,100,longest_seq_length,True,10000,1000,1000,2.8167,1.8482158184051514,1.0,8.0,2.0,1.0,1.5942808389663696,2.847,1.8642935752868652,1.0,8.0,2.0,1.0,1.6074562072753906,2.83,1.9034442901611328,1.0,8.0,2.0,1.0,1.581365942955017,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,100,0.54038074024164,0.7109907604753971,0.762631356716156,0.6098279356956482,0.4013989567756653,5.562023162841797,0.27725592255592346,0.7895085940932811,0.7650941386818886
mlp,1,8,3453,16,-100,100,longest_seq_length,True,10000,1000,1000,4.8908,3.603647470474243,1.0,16.0,4.0,2.0,2.091695785522461,4.926,3.650825262069702,1.0,16.0,4.0,1.0,2.1009390354156494,4.963,3.8368778228759766,1.0,16.0,4.0,1.0,2.0765628814697266,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,66,2.2510289902899676,4.211658030748367,4.302206516265869,1.4153070449829102,0.9134161472320557,10.553916931152344,0.44232460856437683,0.7077629320562819,4.345505237579346
mlp,1,8,4253,32,-100,100,longest_seq_length,True,10000,1000,1000,9.1299,7.251208305358887,1.0,32.0,7.0,2.0,2.6542019844055176,9.114,7.206871509552002,1.0,32.0,7.0,2.0,2.683840274810791,9.416,7.441837310791016,1.0,32.0,7.0,2.0,2.6701650619506836,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,67,8.587372357678262,21.9299533367157,20.31187629699707,3.1941189765930176,2.0987548828125,18.059349060058594,0.567994236946106,0.6332334802698981,20.16504728794098
mlp,1,8,5853,64,-100,100,longest_seq_length,True,10000,1000,1000,18.134,14.850409507751465,1.0,64.0,14.0,2.0,3.265380859375,17.876,14.517804145812988,1.0,62.0,13.5,4.0,3.2791078090667725,18.156,14.922991752624512,1.0,63.0,14.0,3.0,3.2431869506835938,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,26,52.06145982681566,113.69787669181824,102.10968780517578,7.020282745361328,4.554392337799072,47.03288269042969,0.6814274787902832,0.5414832694383409,103.1817798614502
mlp,1,8,9053,128,-100,100,longest_seq_length,True,10000,1000,1000,37.717,31.198516845703125,1.0,128.0,29.0,2.0,3.914503574371338,38.172,30.963890075683594,1.0,126.0,31.0,2.0,3.9179515838623047,37.7,30.94078254699707,1.0,126.0,30.0,1.0,3.8802285194396973,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,21,149.72873595413887,545.7404937744141,467.7218933105469,15.464144706726074,10.314674377441406,99.00025939941406,0.767884373664856,0.5114318944396417,466.9989547729492
mlp,1,8,3053,8,-100,100,largest_contiguous_sum,True,10000,1000,1000,106.5284,94.77655029296875,-100.0,580.0,97.0,98.0,1.5935304164886475,102.543,98.34735107421875,-98.0,437.0,93.0,33.0,1.5713962316513062,105.512,100.7816390991211,-100.0,488.0,92.0,69.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,127,12.004538856114552,7.234833907335997,9.581765174865723,0.9533613920211792,0.40396881103515625,53.887413024902344,15221799256064.0,0.999056628527978,9.380612824112177
mlp,1,8,3453,16,-100,100,largest_contiguous_sum,True,10000,1000,1000,209.3274,153.24949645996094,-100.0,819.0,191.0,156.0,2.086803913116455,202.941,150.5286407470703,-100.0,697.0,189.0,33.0,2.0597832202911377,207.773,156.00286865234375,-98.0,724.0,185.0,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,163,6.392120835697575,7.7409533187747,4.635656356811523,1.0059860944747925,0.5214729309082031,32.040382385253906,72020486258688.0,0.9998095214507629,4.587912134826183
mlp,1,8,4253,32,-100,100,largest_contiguous_sum,True,10000,1000,1000,410.1854,268.93426513671875,-100.0,1450.0,391.0,97.0,2.649203062057495,406.082,273.1595764160156,-99.0,1249.0,385.0,392.0,2.618053913116455,398.226,267.8840637207031,-94.0,1170.0,372.5,94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,395,20.052940924456166,17.950099006295204,28.427871704101562,2.629927635192871,1.5218276977539062,56.45356750488281,0.060692381113767624,0.9996038582476339,28.372332215309143
mlp,1,8,5853,64,-100,100,largest_contiguous_sum,True,10000,1000,1000,806.3981,495.7025451660156,-100.0,2595.0,784.0,202.0,3.2619073390960693,789.287,505.3406677246094,-94.0,2111.0,772.5,331.0,3.2282028198242188,798.072,504.1612854003906,-90.0,2214.0,781.0,195.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,60,1507.1695999825836,5140.226715087891,4745.66015625,48.34817886352539,32.707984924316406,342.9793701171875,0.11031877249479294,0.9813294287566132,4714.176528930664
mlp,1,8,9053,128,-100,100,largest_contiguous_sum,True,10000,1000,1000,1600.838,965.1260375976562,-99.0,4331.0,1579.0,548.0,3.906660556793213,1572.262,978.936767578125,-64.0,4120.0,1572.0,117.0,3.873002052307129,1591.27,988.899169921875,-86.0,4169.0,1539.5,96.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-results.csv,mse,66,2648.6362001455514,27974.6923828125,32824.03515625,119.46237182617188,71.71026611328125,1027.7957763671875,0.13637588918209076,0.9664348981351778,33604.455322265625
