type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
deepsets_mlp_sum,1,8,6113,8,-100,100,sum,True,10000,1000,1000,-1.7207,120.6064453125,-526.0,558.0,-1.0,12.0,1.5935304164886475,-2.551,119.95564270019531,-405.0,410.0,-4.0,-14.0,1.5713962316513062,-0.85,123.9687271118164,-378.0,443.0,-3.0,-32.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,23,0.9691716999076544,0.011090491083450615,0.012539481744170189,0.07931747287511826,0.0528564453125,0.457794189453125,344145100800.0,0.9999991840655003,0.012644266244024038
deepsets_mlp_sum,1,8,6921,16,-100,100,sum,True,10000,1000,1000,-0.3669,168.1516876220703,-651.0,754.0,0.0,64.0,2.086803913116455,-3.994,164.2848358154297,-620.0,642.0,-5.0,-94.0,2.0597832202911377,0.117,171.40850830078125,-645.0,577.0,-0.5,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,27,2.525883237694859,0.39717498794198036,0.39819520711898804,0.514108419418335,0.44891357421875,1.73382568359375,2658803908608.0,0.999986447129677,0.39958508126437664
deepsets_mlp_sum,1,8,8537,32,-100,100,sum,True,10000,1000,1000,-0.4234,232.7130126953125,-1048.0,1091.0,-1.0,-37.0,2.649203062057495,9.993,224.57327270507812,-678.0,910.0,9.0,-24.0,2.618053913116455,-9.602,225.84738159179688,-965.0,795.0,-9.5,-94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,20,11.105920551878631,0.8861548937857151,0.8421254754066467,0.67966628074646,0.50494384765625,4.614837646484375,14788933451776.0,0.9999834900151876,0.8526626341044903
deepsets_mlp_sum,1,8,11769,64,-100,100,sum,True,10000,1000,1000,-4.5196,325.7957458496094,-1483.0,1420.0,-1.0,-75.0,3.2619073390960693,-11.477,317.8013916015625,-1141.0,1006.0,-13.0,62.0,3.2282028198242188,2.993,327.67236328125,-1295.0,1077.0,2.5,-134.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,31,18.907630320946883,2.78841645270586,2.881507396697998,1.324396014213562,0.9715499877929688,5.483154296875,7945039904768.0,0.9999731626185345,2.850941814482212
deepsets_mlp_sum,1,8,18233,128,-100,100,sum,True,10000,1000,1000,-11.7718,464.27020263671875,-1990.0,2092.0,-7.0,-3.0,3.906660556793213,-5.877,438.42767333984375,-1563.0,1629.0,6.5,37.0,3.873002052307129,7.352,455.4123840332031,-1729.0,1765.0,5.5,-120.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,43,57.14985137342647,4.318076252937317,4.420671463012695,1.7796406745910645,1.7056350708007812,5.290920257568359,398524186624.0,0.9999786853341486,4.403449550271034
deepsets_mlp_sum,1,8,31161,256,-100,100,sum,True,10000,1000,1000,-12.4342,650.7060546875,-3095.0,3029.0,-10.0,-264.0,4.571545124053955,-22.822,618.7774658203125,-2378.0,2289.0,-11.5,-93.0,4.538384914398193,-12.812,627.735595703125,-2636.0,2424.0,-15.0,-66.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,20,340.73781961696164,53.11609721183777,50.65912628173828,5.5068206787109375,4.7991180419921875,40.3560791015625,0.04203605279326439,0.9998714405108869,50.26519775390625
deepsets_mlp_sum,1,8,57017,512,-100,100,sum,True,10000,1000,1000,-21.4571,919.6292724609375,-4042.0,4570.0,-12.0,-207.0,5.248648166656494,-54.368,904.8175659179688,-3693.0,3333.0,-40.5,-42.0,5.216047763824463,-17.564,891.1109619140625,-3278.0,3098.0,-19.5,-544.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,25,1137.8463718754472,28.994175672531128,28.98573112487793,4.133655071258545,3.22808837890625,23.84130859375,0.010714161209762096,0.9999634976624163,28.858030438423157
deepsets_mlp_sum,1,8,108729,1024,-100,100,sum,True,10000,1000,1000,-34.4043,1307.7252197265625,-6249.0,6689.0,-29.5,211.0,5.932857990264893,13.265,1292.8341064453125,-4437.0,5348.0,1.0,282.0,5.900405406951904,-48.561,1267.7017822265625,-6106.0,4942.0,-57.0,268.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,42,4846.1004021031085,68.09099245071411,62.20912551879883,5.551680564880371,3.66680908203125,33.28564453125,0.013259694911539555,0.9999612902939449,61.56123900413513
deepsets_mlp_sum,1,8,6113,8,-100,100,largest_pair_sum,True,10000,1000,1000,75.3149,77.86625671386719,-195.0,200.0,89.0,143.0,1.5935304164886475,71.506,79.5936279296875,-175.0,199.0,83.0,126.0,1.5713962316513062,71.876,82.15796661376953,-190.0,198.0,85.0,68.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,143,82.90585681890985,57.81168484687805,70.46710968017578,6.221446514129639,4.471351623535156,43.94682312011719,110141970055168.0,0.9895603201691225,69.93391633033752
deepsets_mlp_sum,1,8,6921,16,-100,100,largest_pair_sum,True,10000,1000,1000,114.6807,71.8364028930664,-186.0,200.0,138.0,175.0,2.086803913116455,111.771,74.47907257080078,-196.0,199.0,137.5,140.0,2.0597832202911377,113.484,70.77845764160156,-164.0,200.0,135.0,179.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_sum-diff-set-sizes-results.csv,mse,132,218.02957673285417,177.87660455703735,172.3528594970703,9.895910263061523,8.003765106201172,66.04435729980469,0.30858996510505676,0.9655954177974228,174.1817388534546
