type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
small_set_transformer,1,8,37953,8,-100,100,sum,True,10000,1000,1000,-1.7207,120.6064453125,-526.0,558.0,-1.0,12.0,1.5935304164886475,-2.551,119.95564270019531,-405.0,410.0,-4.0,-14.0,1.5713962316513062,-0.85,123.9687271118164,-378.0,443.0,-3.0,-32.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,33,1.9188224033565278,0.22814937960356474,0.23888006806373596,0.3791726231575012,0.308438777923584,2.40875244140625,8129339195392.0,0.9999844562572087,0.23926422838121653
small_set_transformer,1,8,37953,16,-100,100,sum,True,10000,1000,1000,-0.3669,168.1516876220703,-651.0,754.0,0.0,64.0,2.086803913116455,-3.994,164.2848358154297,-620.0,642.0,-5.0,-94.0,2.0597832202911377,0.117,171.40850830078125,-645.0,577.0,-0.5,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,27,29.558580902731343,0.681977778673172,0.7706501483917236,0.6820552349090576,0.5367755889892578,3.226287841796875,2431951568896.0,0.999973770349482,0.7714696899056435
small_set_transformer,1,8,37953,32,-100,100,sum,True,10000,1000,1000,-0.4234,232.7130126953125,-1048.0,1091.0,-1.0,-37.0,2.649203062057495,9.993,224.57327270507812,-678.0,910.0,9.0,-24.0,2.618053913116455,-9.602,225.84738159179688,-965.0,795.0,-9.5,-94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,53,8.142176913038181,0.6285657715052366,0.6540102362632751,0.6041253805160522,0.4510040283203125,4.5465087890625,11462058704896.0,0.9999871780396055,0.6477862987667322
small_set_transformer,1,8,37953,64,-100,100,sum,True,10000,1000,1000,-4.5196,325.7957458496094,-1483.0,1420.0,-1.0,-75.0,3.2619073390960693,-11.477,317.8013916015625,-1141.0,1006.0,-13.0,62.0,3.2282028198242188,2.993,327.67236328125,-1295.0,1077.0,2.5,-134.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,55,283.5876389521702,3.7687022387981415,3.9527533054351807,1.4444375038146973,1.058563232421875,8.5721435546875,2498324856832.0,0.999963185401181,3.8943279683589935
small_set_transformer,1,8,37953,128,-100,100,sum,True,10000,1000,1000,-11.7718,464.27020263671875,-1990.0,2092.0,-7.0,-3.0,3.906660556793213,-5.877,438.42767333984375,-1563.0,1629.0,6.5,37.0,3.873002052307129,7.352,455.4123840332031,-1729.0,1765.0,5.5,-120.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,66,345.2843696205479,22.622681736946106,24.982030868530273,4.577552318572998,4.398044109344482,28.449050903320312,9154557116416.0,0.9998795468846688,24.879401564598083
small_set_transformer,1,8,37953,256,-100,100,sum,True,10000,1000,1000,-12.4342,650.7060546875,-3095.0,3029.0,-10.0,-264.0,4.571545124053955,-22.822,618.7774658203125,-2378.0,2289.0,-11.5,-93.0,4.538384914398193,-12.812,627.735595703125,-2636.0,2424.0,-15.0,-66.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,42,3722.9856305942412,255.3164119720459,246.0602569580078,12.905197143554688,12.244087219238281,112.453857421875,0.1538621485233307,0.9993755640017175,245.15917873382568
small_set_transformer,1,8,37953,512,-100,100,sum,True,10000,1000,1000,-21.4571,919.6292724609375,-4042.0,4570.0,-12.0,-207.0,5.248648166656494,-54.368,904.8175659179688,-3693.0,3333.0,-40.5,-42.0,5.216047763824463,-17.564,891.1109619140625,-3278.0,3098.0,-19.5,-544.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,72,53825.761423293196,9146.810440063477,13687.6083984375,62.24870300292969,41.54096984863281,2339.065673828125,0.31075528264045715,0.9827629074311023,16812.556610107422
small_set_transformer,1,8,37953,1024,-100,100,sum,True,10000,1000,1000,-34.4043,1307.7252197265625,-6249.0,6689.0,-29.5,211.0,5.932857990264893,13.265,1292.8341064453125,-4437.0,5348.0,1.0,282.0,5.900405406951904,-48.561,1267.7017822265625,-6106.0,4942.0,-57.0,268.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,36,155602.69058519107,104060.07348632812,113876.734375,233.2860870361328,185.9443359375,3400.02685546875,0.904651403427124,0.9291400529813373,113382.802734375
small_set_transformer,1,8,37953,8,-100,100,largest_pair_sum,True,10000,1000,1000,75.3149,77.86625671386719,-195.0,200.0,89.0,143.0,1.5935304164886475,71.506,79.5936279296875,-175.0,199.0,83.0,126.0,1.5713962316513062,71.876,82.15796661376953,-190.0,198.0,85.0,68.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,50,20.980296815276905,21.260195821523666,23.784561157226562,2.696946382522583,1.851806640625,69.4941635131836,20109689094144.0,0.9964763253536136,23.41299480199814
small_set_transformer,1,8,37953,16,-100,100,largest_pair_sum,True,10000,1000,1000,114.6807,71.8364028930664,-186.0,200.0,138.0,175.0,2.086803913116455,111.771,74.47907257080078,-196.0,199.0,137.5,140.0,2.0597832202911377,113.484,70.77845764160156,-164.0,200.0,135.0,179.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,small_set_transformer-diff-set-sizes-results.csv,mse,127,16.265883451814105,11.233791694045067,16.132144927978516,2.0633857250213623,1.4107627868652344,76.06190490722656,0.05100126564502716,0.996779747281222,15.820920124650002
