type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
sorted_mlp,1,8,3053,8,-100,100,sum,True,10000,1000,1000,-1.7207,120.6064453125,-526.0,558.0,-1.0,12.0,1.5935304164886475,-2.551,119.95564270019531,-405.0,410.0,-4.0,-14.0,1.5713962316513062,-0.85,123.9687271118164,-378.0,443.0,-3.0,-32.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,33,0.34893378387590884,0.11693447642028332,0.10795383900403976,0.22799047827720642,0.15377044677734375,1.50360107421875,4490731716608.0,0.9999929755255891,0.10824011475779116
sorted_mlp,1,8,3453,16,-100,100,sum,True,10000,1000,1000,-0.3669,168.1516876220703,-651.0,754.0,0.0,64.0,2.086803913116455,-3.994,164.2848358154297,-620.0,642.0,-5.0,-94.0,2.0597832202911377,0.117,171.40850830078125,-645.0,577.0,-0.5,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,33,3.043148083576731,0.5820367820560932,0.7459339499473572,0.5871994495391846,0.4484367370605469,10.09735107421875,6904153112576.0,0.9999746115840987,0.7416080292314291
sorted_mlp,1,8,4253,32,-100,100,sum,True,10000,1000,1000,-0.4234,232.7130126953125,-1048.0,1091.0,-1.0,-37.0,2.649203062057495,9.993,224.57327270507812,-678.0,910.0,9.0,-24.0,2.618053913116455,-9.602,225.84738159179688,-965.0,795.0,-9.5,-94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,39,19.017742583895945,1.0717138685286045,1.005928635597229,0.6514827609062195,0.48171234130859375,14.570556640625,7879426834432.0,0.999980278631712,0.9992123283445835
sorted_mlp,1,8,5853,64,-100,100,sum,True,10000,1000,1000,-4.5196,325.7957458496094,-1483.0,1420.0,-1.0,-75.0,3.2619073390960693,-11.477,317.8013916015625,-1141.0,1006.0,-13.0,62.0,3.2282028198242188,2.993,327.67236328125,-1295.0,1077.0,2.5,-134.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,43,193.36222038451274,4.164184615015984,5.505486488342285,1.782423734664917,1.8727593421936035,40.3253173828125,22176491110400.0,0.9999487237750314,5.454533293843269
sorted_mlp,1,8,9053,128,-100,100,sum,True,10000,1000,1000,-11.7718,464.27020263671875,-1990.0,2092.0,-7.0,-3.0,3.906660556793213,-5.877,438.42767333984375,-1563.0,1629.0,6.5,37.0,3.873002052307129,7.352,455.4123840332031,-1729.0,1765.0,5.5,-120.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,33,347.7026949475525,50.07115054130554,55.5233268737793,5.798634052276611,5.482269287109375,85.61749267578125,2416338272256.0,0.9997322892589455,54.8592004776001
sorted_mlp,1,8,15453,256,-100,100,sum,True,10000,1000,1000,-12.4342,650.7060546875,-3095.0,3029.0,-10.0,-264.0,4.571545124053955,-22.822,618.7774658203125,-2378.0,2289.0,-11.5,-93.0,4.538384914398193,-12.812,627.735595703125,-2636.0,2424.0,-15.0,-66.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,23,588.2890624514051,148.81814050674438,113.82022094726562,8.89448356628418,8.483917236328125,77.27923583984375,0.074087955057621,0.9997111543064936,113.30614233016968
sorted_mlp,1,8,28253,512,-100,100,sum,True,10000,1000,1000,-21.4571,919.6292724609375,-4042.0,4570.0,-12.0,-207.0,5.248648166656494,-54.368,904.8175659179688,-3693.0,3333.0,-40.5,-42.0,5.216047763824463,-17.564,891.1109619140625,-3278.0,3098.0,-19.5,-544.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,19,6451.31806489009,1028.4778442382812,1283.8807373046875,29.449359893798828,28.41082763671875,240.4111328125,0.18175014853477478,0.9983831818901083,1277.2250709533691
sorted_mlp,1,8,53853,1024,-100,100,sum,True,10000,1000,1000,-34.4043,1307.7252197265625,-6249.0,6689.0,-29.5,211.0,5.932857990264893,13.265,1292.8341064453125,-4437.0,5348.0,1.0,282.0,5.900405406951904,-48.561,1267.7017822265625,-6106.0,4942.0,-57.0,268.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,18,12291.998648673865,4990.012130737305,5330.86083984375,59.205055236816406,53.344669342041016,456.23193359375,0.21854864060878754,0.9966828650399145,5351.555648803711
sorted_mlp,1,8,3053,8,-100,100,largest_pair_sum,True,10000,1000,1000,75.3149,77.86625671386719,-195.0,200.0,89.0,143.0,1.5935304164886475,71.506,79.5936279296875,-175.0,199.0,83.0,126.0,1.5713962316513062,71.876,82.15796661376953,-190.0,198.0,85.0,68.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,90,39.60583407408113,45.174019396305084,40.456024169921875,2.6813156604766846,1.0482177734375,68.78270721435547,29462651469824.0,0.9940064537514509,41.82829833030701
sorted_mlp,1,8,3453,16,-100,100,largest_pair_sum,True,10000,1000,1000,114.6807,71.8364028930664,-186.0,200.0,138.0,175.0,2.086803913116455,111.771,74.47907257080078,-196.0,199.0,137.5,140.0,2.0597832202911377,113.484,70.77845764160156,-164.0,200.0,135.0,179.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,sorted_mlp-diff-set-sizes-results.csv,mse,111,27.201056621636553,32.07978841662407,26.382537841796875,1.8208098411560059,0.5843582153320312,63.553504943847656,0.09844277054071426,0.9947335935341214,28.2096429169178
