type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,137,0.00011542791481837308,7.98327127427001e-06,8.735088584899131e-06
deepsets_mlp_max,1,10,251,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,46,3.3071574914227626,3.3101575672626495,3.449912339448929
deepsets_mlp_fspool,1,10,361,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,96,0.017437064468528433,0.017725279612932354,0.016757430625148118
mlp,1,10,121,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,114,0.5202100548394926,0.5352413505315781,0.5576176680624485
sorted_mlp,1,10,121,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,168,0.5724553767662899,0.5877404529601336,0.6171380877494812
pna,1,10,141,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,196,0.02196737055542173,0.020727494382299483,0.02326791058294475
small_set_transformer,1,10,37953,10,0,10,cardinality,True,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,42,0.4926488974671455,0.4789411909878254,0.5131693687289953
deepsets_mlp_sum,1,10,251,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,144,4.3701735721349756e-05,1.3184786098463519e-05,1.2913199213926418e-05
deepsets_mlp_max,1,10,251,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,46,2.055946500438034,2.229794256389141,2.046978920698166
deepsets_mlp_fspool,1,10,361,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,94,0.017166410859045425,0.0193201006622985,0.018293185770744458
mlp,1,10,121,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,197,0.27920065127360594,0.3117438554763794,0.29891066160053015
sorted_mlp,1,10,121,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,202,0.29404098649693144,0.3019334813579917,0.3070117337629199
pna,1,10,141,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,175,0.01902451482453164,0.01817081798799336,0.020629654958611354
small_set_transformer,1,10,37953,10,0,10,cardinality,False,10000,1000,1000,5.4627,2.8962059020996094,1.0,10.0,5.0,1.0,1.7412289381027222,5.63,2.8658506870269775,1.0,10.0,6.0,10.0,1.7756892442703247,5.579,2.906158924102783,1.0,10.0,6.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,cardinality-results.csv,mse,40,0.21747768713030846,0.20899123791605234,0.21029518265277147
deepsets_mlp_sum,1,10,251,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,47,0.00046593835897864244,4.7182594329342464e-06,4.1784990258975085e-06
deepsets_mlp_max,1,10,251,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,75,3.3865192741345447,3.3711335361003876,3.458438903093338
deepsets_mlp_fspool,1,10,361,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,100,0.01730396935366284,0.012380720960209146,0.015650808432837948
mlp,1,10,121,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,98,0.3954931041047831,0.39268085453659296,0.43824330903589725
sorted_mlp,1,10,121,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,169,0.6137805943656119,0.6803483031690121,0.5825802311301231
pna,1,10,141,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,140,0.027824944881781652,0.03125742793781683,0.02546066604554653
small_set_transformer,1,10,37953,10,0,10,cardinality,True,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,40,0.5266199139462915,0.5447391029447317,0.48455335944890976
deepsets_mlp_sum,1,10,251,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,42,0.00011517614507138901,6.013783917069304e-06,5.8061740730863676e-06
deepsets_mlp_max,1,10,251,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,31,2.129012924091072,2.1472635492682457,2.147614188492298
deepsets_mlp_fspool,1,10,361,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,80,0.017500850184417216,0.016182875318918377,0.01666176439903211
mlp,1,10,121,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,104,0.25958946347236633,0.26133190002292395,0.24461951851844788
sorted_mlp,1,10,121,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,163,0.3173216073566182,0.3152690511196852,0.2947831731289625
pna,1,10,141,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,165,0.021551797670685942,0.020537573902402073,0.018499123165383935
small_set_transformer,1,10,37953,10,0,10,cardinality,False,10000,1000,1000,5.5071,2.8586273193359375,1.0,10.0,5.0,4.0,1.7536474466323853,5.602,2.8631443977355957,1.0,10.0,6.0,8.0,1.768372893333435,5.48,2.9054431915283203,1.0,10.0,5.0,2.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,cardinality-results.csv,mse,55,0.22988386642021738,0.21414789371192455,0.21200427692383528
