type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,262,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,19,0.3307370526111713,0.25124552845954895,0.25630288012325764
deepsets_mlp_max,1,10,262,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,15,0.3746797112725983,0.34128384571522474,0.36205749958753586
deepsets_mlp_fspool,1,10,372,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,33,0.3235057347015993,0.3003215813077986,0.3086367081850767
mlp,1,10,132,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,41,0.399815149157514,0.3592164609581232,0.37955434061586857
sorted_mlp,1,10,132,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,71,0.3277029846659642,0.29658785555511713,0.2988408887758851
pna,1,10,152,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,17,0.3567770613475664,0.3306156415492296,0.3467071633785963
small_set_transformer,1,10,38018,10,0,10,contains_even,True,10000,1000,1000,0.9149,0.27903044636741703,0.0,1.0,1.0,1.0,1.7412289381027222,0.93,0.2551470164434615,0.0,1.0,1.0,1.0,1.7756892442703247,0.923,0.26659144772479104,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,25,0.32789354467750115,0.24975043535232544,0.2576370192691684
deepsets_mlp_sum,1,10,262,10,0,10,contains_even,False,10000,1000,1000,0.9239,0.2651580472095841,0.0,1.0,1.0,1.0,1.7412289381027222,0.938,0.24115555146004825,0.0,1.0,1.0,1.0,1.7756892442703247,0.93,0.25514701644346144,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,20,0.2635116617566622,0.21661035157740116,0.2175464453175664
deepsets_mlp_max,1,10,262,10,0,10,contains_even,False,10000,1000,1000,0.9239,0.2651580472095841,0.0,1.0,1.0,1.0,1.7412289381027222,0.938,0.24115555146004825,0.0,1.0,1.0,1.0,1.7756892442703247,0.93,0.25514701644346144,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,52,0.3302405427755623,0.2676435122266412,0.2721085948869586
deepsets_mlp_fspool,1,10,372,10,0,10,contains_even,False,10000,1000,1000,0.9239,0.2651580472095841,0.0,1.0,1.0,1.0,1.7412289381027222,0.938,0.24115555146004825,0.0,1.0,1.0,1.0,1.7756892442703247,0.93,0.25514701644346144,0.0,1.0,1.0,1.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,contains-even-results.csv,ce,24,0.2604780043706973,0.23785626702010632,0.23833771143108606
