type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,78,2.3883842380578795e-06,5.72896120765165e-07,2.9501471843218496e-07
deepsets_mlp_max,1,10,251,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,49,119.43176045994849,120.55047225952148,122.21480178833008
deepsets_mlp_fspool,1,10,361,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,157,0.0001366654979858812,5.4304385770365116e-06,7.679749273847847e-06
mlp,1,10,121,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,109,0.15930390310515263,0.16521994955837727,0.16596598643809557
sorted_mlp,1,10,121,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,174,0.08631648944251856,0.08695868123322725,0.08675453998148441
pna,1,10,141,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,275,0.03496429018059354,0.03598790010437369,0.03220089222304523
small_set_transformer,1,10,37953,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,93,0.024839231041467683,0.0006356386020343052,0.0006378215111908503
deepsets_mlp_sum,1,10,251,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,124,0.0001211144531910926,3.069795200261183e-07,3.185507218006478e-07
deepsets_mlp_max,1,10,251,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,46,75.79192485930814,81.87718939781189,76.45752048492432
deepsets_mlp_fspool,1,10,361,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,138,0.0005440699078984152,2.477576515502733e-05,2.0726688603645016e-05
mlp,1,10,121,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,74,0.11874732379890551,0.12180763855576515,0.13569451961666346
sorted_mlp,1,10,121,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,149,0.0888339599511426,0.09283435763791203,0.09256842639297247
pna,1,10,141,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,285,0.06142095011320843,0.061985853826627135,0.05424151080660522
small_set_transformer,1,10,37953,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,79,0.33645013978654387,0.0008881662652129307,0.0008828687114146305
deepsets_mlp_sum,1,10,251,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,25,0.0005659523468604015,0.00016525536057088175,0.00015264992316588177
deepsets_mlp_max,1,10,251,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,112,73.50830168025509,78.95184302330017,78.99971985816956
deepsets_mlp_fspool,1,10,361,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,176,0.00020676315510688144,1.9886775461941397e-06,2.115368857857902e-06
mlp,1,10,121,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,101,0.11754410671200721,0.11910587316378951,0.11626072600483894
sorted_mlp,1,10,121,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,226,0.1502544172345453,0.15239342767745256,0.14987571397796273
pna,1,10,141,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,309,0.039927777057145813,0.042806681245565414,0.03735580877400935
small_set_transformer,1,10,37953,10,0,10,largest_contiguous_sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,53,0.012989432949151631,0.0011525791669555474,0.0011996489301964175
deepsets_mlp_sum,1,10,251,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,36,0.0008659753117044486,0.0003631935906014405,0.0003395049279788509
deepsets_mlp_max,1,10,251,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,76,61.4673294747711,59.31953954696655,65.74492383003235
deepsets_mlp_fspool,1,10,361,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,165,0.0002730434312736619,7.400982724448113e-06,7.526823083026102e-06
mlp,1,10,121,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,187,0.08161097420913399,0.07448155526071787,0.08058102801442146
sorted_mlp,1,10,121,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,198,0.06955435425992225,0.06960481940768659,0.06406702450476587
pna,1,10,141,10,0,10,largest_contiguous_sum,False,10000,1000,1000,27.5835,15.051777839660645,0.0,55.0,27.0,45.0,1.7536474466323853,27.887,15.144775390625,0.0,55.0,28.0,10.0,1.768372893333435,27.492,15.18940258026123,0.0,55.0,27.0,32.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-contiguous-sum-results.csv,mse,241,0.06104971429297499,0.0540377504657954,0.057588953291997313
