type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,183,0.18415475394695427,0.16356687061488628,0.15864235209301114
deepsets_mlp_max,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,56,3.3871926403349373,3.225289136171341,3.6891262233257294
deepsets_mlp_fspool,1,10,361,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,169,0.035176711750163396,0.03214517154265195,0.037075649364851415
mlp,1,10,121,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,149,0.41618307494813467,0.4206589460372925,0.4474925007671118
sorted_mlp,1,10,121,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,130,0.0004641594426227425,0.0003079073751450778,0.0002845021235771128
pna,1,10,141,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,176,0.17080304363540783,0.16588919842615724,0.17785041080787778
small_set_transformer,1,10,37953,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2427,5.087494373321533,0.0,20.0,16.0,18.0,1.7412289381027222,14.492,5.054496765136719,0.0,20.0,16.0,17.0,1.7756892442703247,14.508,4.9568071365356445,0.0,20.0,16.0,18.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,47,0.026826944297096533,0.013801958120893687,0.013941519660875201
deepsets_mlp_sum,1,10,251,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,182,0.08519705126334907,0.0862809750251472,0.08348317164927721
deepsets_mlp_max,1,10,251,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,217,0.9104169085147275,0.9408644940704107,0.9385538771748543
deepsets_mlp_fspool,1,10,361,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,152,0.03306827141316074,0.032002261956222355,0.028478840366005898
mlp,1,10,121,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,305,0.1600787686599288,0.16912683146074414,0.16088763950392604
sorted_mlp,1,10,121,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,117,0.0003376793109194174,0.0003893120174325304,0.00036075311345484806
pna,1,10,141,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,205,0.04662316746914842,0.04628472519107163,0.043321469565853477
small_set_transformer,1,10,37953,10,0,10,largest_pair_sum,False,10000,1000,1000,14.7617,4.953273296356201,0.0,19.0,17.0,19.0,1.7412289381027222,15.046,4.734118938446045,0.0,19.0,17.0,19.0,1.7756892442703247,14.896,4.85254430770874,0.0,19.0,17.0,19.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,31,0.01155734517771727,0.007660434377612546,0.007802542590070516
deepsets_mlp_sum,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,175,0.22225482809315822,0.19693132303655148,0.21894165128469467
deepsets_mlp_max,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,140,2.3446298215039976,2.140022486448288,2.514679007232189
deepsets_mlp_fspool,1,10,361,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,147,0.05992064191989458,0.05895556218456477,0.06365242321044207
mlp,1,10,121,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,221,0.5079856631672306,0.4743543975055218,0.5529130892828107
sorted_mlp,1,10,121,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,123,0.00032465894603710637,0.0002108781267793347,0.0002918695450944142
pna,1,10,141,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,223,0.20110068536677939,0.19861355377361178,0.17650283174589276
small_set_transformer,1,10,37953,10,0,10,largest_pair_sum,True,10000,1000,1000,14.3682,4.928511619567871,0.0,20.0,16.0,18.0,1.7536474466323853,14.602,4.829036712646484,0.0,20.0,16.0,18.0,1.768372893333435,14.353,4.954834938049316,0.0,20.0,16.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,41,0.02972083475298373,0.010240239382255822,0.010501692129764706
deepsets_mlp_sum,1,10,251,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,147,0.07819190573920111,0.06788399000652134,0.06482668849639595
deepsets_mlp_max,1,10,251,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,167,1.1434760974470977,1.0644645132124424,1.1358453668653965
deepsets_mlp_fspool,1,10,361,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,139,0.04629466581828655,0.04603156680241227,0.051764462841674685
mlp,1,10,121,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,220,0.6020196459855244,0.659102039411664,0.5928639508783817
sorted_mlp,1,10,121,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,145,0.0003370761312178231,0.00029510621493500366,0.0002854172971638036
pna,1,10,141,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,243,0.06580317929197269,0.06951979035511613,0.06964340410195291
small_set_transformer,1,10,37953,10,0,10,largest_pair_sum,False,10000,1000,1000,14.8848,4.862193584442139,0.0,19.0,17.0,19.0,1.7536474466323853,14.923,4.895617485046387,0.0,19.0,17.0,19.0,1.768372893333435,14.907,4.784177303314209,0.0,19.0,17.0,19.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,41,0.006416871744819033,0.004208326994557865,0.004102587889065035
deepsets_mlp_sum,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2912,4.988586902618408,0.0,20.0,16.0,18.0,1.7441093921661377,14.212,5.007899284362793,0.0,20.0,16.0,19.0,1.7379363775253296,14.22,4.985538959503174,0.0,20.0,16.0,19.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,204,0.11510930511697083,0.10636956244707108,0.10789812938310206
deepsets_mlp_max,1,10,251,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2912,4.988586902618408,0.0,20.0,16.0,18.0,1.7441093921661377,14.212,5.007899284362793,0.0,20.0,16.0,19.0,1.7379363775253296,14.22,4.985538959503174,0.0,20.0,16.0,19.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,48,3.510402849525403,3.763719893991947,3.6880087703466415
deepsets_mlp_fspool,1,10,361,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2912,4.988586902618408,0.0,20.0,16.0,18.0,1.7441093921661377,14.212,5.007899284362793,0.0,20.0,16.0,19.0,1.7379363775253296,14.22,4.985538959503174,0.0,20.0,16.0,19.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,123,0.07003744874315657,0.0704309088177979,0.06898982496932149
mlp,1,10,121,10,0,10,largest_pair_sum,True,10000,1000,1000,14.2912,4.988586902618408,0.0,20.0,16.0,18.0,1.7441093921661377,14.212,5.007899284362793,0.0,20.0,16.0,19.0,1.7379363775253296,14.22,4.985538959503174,0.0,20.0,16.0,19.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-pair-sum-results.csv,mse,223,0.5064551338648341,0.48779075779020786,0.5466601196676493
