type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,106,0.31007655724218697,0.28533344622701406,0.2931713219732046
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,56,14.171419945492106,13.652065068483353,14.928797483444214
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,364,0.02212172113714894,0.02031030145008117,0.02636977523798123
mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,373,0.2802818829941142,0.30825303960591555,0.33130454923957586
sorted_mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,189,0.0007453714645223745,0.0006495069355878513,0.0006463373756560031
pna,1,10,141,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,206,0.24024108261059804,0.23577831126749516,0.2780997632071376
small_set_transformer,1,10,37953,10,0,10,largest_triple_sum,True,10000,1000,1000,18.6783,7.8778557777404785,0.0,30.0,21.0,24.0,1.7412289381027222,19.132,7.866293907165527,0.0,30.0,21.0,27.0,1.7756892442703247,19.075,7.779933929443359,0.0,30.0,21.5,25.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,69,0.034200355861407176,0.021298945357557386,0.02207433118019253
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,215,0.06863879705452995,0.05169261293485761,0.05056000710465014
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,235,3.018795349036053,3.0474608913064003,3.0347564667463303
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,308,0.018699710165405538,0.01979888597270474,0.018493308336474
mlp,1,10,121,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,327,0.2868765007918048,0.3005985291674733,0.29073714185506105
sorted_mlp,1,10,121,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,164,0.0007789625933988518,0.0007360619911196409,0.0007579988523502834
pna,1,10,141,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,319,0.06397329085761574,0.06431266525760293,0.06320166471414268
small_set_transformer,1,10,37953,10,0,10,largest_triple_sum,False,10000,1000,1000,19.2445,7.691041469573975,0.0,27.0,22.0,27.0,1.7412289381027222,19.661,7.429810047149658,0.0,27.0,22.0,27.0,1.7756892442703247,19.414,7.5608601570129395,0.0,27.0,22.0,27.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,35,0.027334360411734718,0.012640991306398064,0.01293672903557308
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,238,0.2645700415418406,0.22559500765055418,0.2769484044983983
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,143,8.595008355037422,8.022271603345871,9.060332238674164
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,252,0.061143566741590286,0.061025670962408185,0.05213741853367537
mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,112,1.9339466375909793,1.9608908221125603,1.797775112092495
sorted_mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,137,0.0005822279302375154,0.0004442385852598818,0.0005858713102497859
pna,1,10,141,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,89,0.30079542252288505,0.29622547794133425,0.34035061579197645
small_set_transformer,1,10,37953,10,0,10,largest_triple_sum,True,10000,1000,1000,18.8658,7.6949591636657715,0.0,30.0,21.0,25.0,1.7536474466323853,19.135,7.534770965576172,0.0,30.0,21.0,25.0,1.768372893333435,18.763,7.784910202026367,0.0,30.0,21.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,95,0.034578157286307996,0.02221871801884845,0.02596471377182752
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,157,0.050943778875242374,0.04305478243622929,0.04004177241586149
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,116,3.6678490995601485,3.60809725522995,3.371338278055191
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,298,0.028371816121373968,0.026784551446326077,0.024581114994361997
mlp,1,10,121,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,89,1.0232016205028365,1.0218304730951786,0.8719665817916393
sorted_mlp,1,10,121,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,145,0.0006311510808752541,0.0005781018053312437,0.0005689088839062606
pna,1,10,141,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,126,0.09610217494095206,0.10359683306887746,0.08814624440856278
small_set_transformer,1,10,37953,10,0,10,largest_triple_sum,False,10000,1000,1000,19.4309,7.564471244812012,0.0,27.0,22.0,27.0,1.7536474466323853,19.531,7.595067024230957,0.0,27.0,22.5,27.0,1.768372893333435,19.363,7.528295516967773,0.0,27.0,22.0,27.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,35,0.027712691788840445,0.014627175813075155,0.015723777120001614
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,234,0.11795872796303147,0.11026865127496421,0.11100720940157771
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,53,15.124824930907815,16.794796109199524,15.940252184867859
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,302,0.04318055374678343,0.03618846426252276,0.03849372104741633
mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,341,0.6330357038291397,0.5930104143917561,0.682118022814393
sorted_mlp,1,10,121,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,87,0.025022934707012147,0.025497849273961037,0.025190048152580857
pna,1,10,141,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,196,0.23441048175286336,0.21182510908693075,0.22025597421452403
small_set_transformer,1,10,37953,10,0,10,largest_triple_sum,True,10000,1000,1000,18.7488,7.765545845031738,0.0,30.0,21.0,24.0,1.7441093921661377,18.593,7.785971641540527,0.0,30.0,20.0,26.0,1.7379363775253296,18.598,7.806176662445068,0.0,30.0,20.0,26.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,48,0.03075893989698902,0.014095371298026294,0.013116570131387562
deepsets_mlp_sum,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.247,7.636176109313965,0.0,27.0,22.0,27.0,1.7441093921661377,19.009,7.716017246246338,0.0,27.0,21.5,27.0,1.7379363775253296,19.248,7.557016372680664,0.0,27.0,22.0,27.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,127,0.05391493080195728,0.04439106269273907,0.039297496899962425
deepsets_mlp_max,1,10,251,10,0,10,largest_triple_sum,False,10000,1000,1000,19.247,7.636176109313965,0.0,27.0,22.0,27.0,1.7441093921661377,19.009,7.716017246246338,0.0,27.0,21.5,27.0,1.7379363775253296,19.248,7.557016372680664,0.0,27.0,22.0,27.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,60,10.05960525828562,10.414130419492722,9.513143628835678
deepsets_mlp_fspool,1,10,361,10,0,10,largest_triple_sum,False,10000,1000,1000,19.247,7.636176109313965,0.0,27.0,22.0,27.0,1.7441093921661377,19.009,7.716017246246338,0.0,27.0,21.5,27.0,1.7379363775253296,19.248,7.557016372680664,0.0,27.0,22.0,27.0,1.737896203994751,500,15,1e-09,0.001,64,999,0.005,50.0,False,True,largest-triple-sum-results.csv,mse,194,0.03845938450544124,0.03540438390336931,0.033430010662414134
