type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,112,0.8493331906142508,0.8774015791714191,0.8322626911103725
deepsets_mlp_max,1,10,251,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,50,4.246948046289432,4.256370306015015,4.754122212529182
deepsets_mlp_fspool,1,10,361,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,253,0.4621582303647023,0.4846274768933654,0.48837667517364025
mlp,1,10,121,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,72,1.7725454363853308,1.7436833754181862,1.8221634030342102
sorted_mlp,1,10,121,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,137,0.9221478222282069,0.9770971797406673,0.9576533287763596
pna,1,10,141,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,184,0.8939428654066317,0.9290205091238022,0.8994429744780064
small_set_transformer,1,10,37953,10,0,10,longest_seq_length,True,10000,1000,1000,4.4036,2.6359641551971436,1.0,10.0,4.0,1.0,1.7491679191589355,4.415,2.6314966678619385,1.0,10.0,4.0,2.0,1.7491501569747925,4.493,2.7066495418548584,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,103,0.09614306837794886,0.04673226654995233,0.05865846178494394
deepsets_mlp_sum,1,10,251,10,0,10,longest_seq_length,False,10000,1000,1000,4.2924,2.6547131538391113,1.0,10.0,4.0,1.0,1.7491679191589355,4.285,2.640411853790283,1.0,10.0,4.0,2.0,1.7491501569747925,4.358,2.7198963165283203,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,213,0.2665092560705865,0.23487490694969893,0.26241390593349934
deepsets_mlp_max,1,10,251,10,0,10,longest_seq_length,False,10000,1000,1000,4.2924,2.6547131538391113,1.0,10.0,4.0,1.0,1.7491679191589355,4.285,2.640411853790283,1.0,10.0,4.0,2.0,1.7491501569747925,4.358,2.7198963165283203,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,77,4.097487262859466,4.069633856415749,4.307009845972061
deepsets_mlp_fspool,1,10,361,10,0,10,longest_seq_length,False,10000,1000,1000,4.2924,2.6547131538391113,1.0,10.0,4.0,1.0,1.7491679191589355,4.285,2.640411853790283,1.0,10.0,4.0,2.0,1.7491501569747925,4.358,2.7198963165283203,1.0,10.0,4.0,1.0,1.764857292175293,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,longest-seq-length-results.csv,mse,158,0.15620949347117905,0.14565328927710652,0.15900890482589602
