type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,167,0.11355641028683656,0.09780456312000751,0.11290902271866798
deepsets_mlp_max,1,10,251,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,83,6.958711917102348e-06,9.884072333932181e-07,9.152994273620152e-07
deepsets_mlp_fspool,1,10,361,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,89,1.3050169038170523e-05,2.673053941748549e-06,2.4411802073132094e-06
mlp,1,10,121,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,150,0.463792886703637,0.4592183083295822,0.47533714957535267
sorted_mlp,1,10,121,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,134,8.136795592725517e-06,2.1757775812147884e-06,2.1603315829565872e-06
pna,1,10,141,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,93,0.00025964179655550354,0.00012183767694295966,0.00012331668631304638
small_set_transformer,1,10,37953,10,0,10,max,True,10000,1000,1000,8.1868,2.2860677242279053,0.0,10.0,9.0,10.0,1.7412289381027222,8.226,2.285371780395508,0.0,10.0,9.0,10.0,1.7756892442703247,8.3,2.216754198074341,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,26,0.003934497072266498,0.0025913012941600755,0.002834579994669184
deepsets_mlp_sum,1,10,251,10,0,10,max,False,10000,1000,1000,8.5596,2.2068638801574707,0.0,10.0,10.0,10.0,1.7412289381027222,8.692,2.04282546043396,0.0,10.0,10.0,10.0,1.7756892442703247,8.562,2.185899257659912,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,296,0.04602144276545306,0.04146614100318402,0.04218620539177209
deepsets_mlp_max,1,10,251,10,0,10,max,False,10000,1000,1000,8.5596,2.2068638801574707,0.0,10.0,10.0,10.0,1.7412289381027222,8.692,2.04282546043396,0.0,10.0,10.0,10.0,1.7756892442703247,8.562,2.185899257659912,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,79,8.546948629807691e-06,9.693127385190792e-07,1.191339705997052e-06
deepsets_mlp_fspool,1,10,361,10,0,10,max,False,10000,1000,1000,8.5596,2.2068638801574707,0.0,10.0,10.0,10.0,1.7412289381027222,8.692,2.04282546043396,0.0,10.0,10.0,10.0,1.7756892442703247,8.562,2.185899257659912,0.0,10.0,9.0,10.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,max-results.csv,mse,80,1.2943520481608494e-05,2.7004952940501425e-06,2.9439112694262803e-06
