type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,127,0.030176294771776458,0.02564380201511085,0.03152193361893296
deepsets_mlp_max,1,10,251,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,49,0.39479082395696335,0.4153116475790739,0.41345817875117064
deepsets_mlp_fspool,1,10,361,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,77,0.1682164294728238,0.14376988168805838,0.16052855527959764
mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,85,0.31629056118096516,0.31684408336877823,0.3367599081248045
sorted_mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,69,0.6263566751768634,0.6618042979389429,0.6666015554219484
pna,1,10,141,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,146,0.00011865229921539278,7.565604596493358e-05,8.447227708074934e-05
small_set_transformer,1,10,37953,10,0,10,mean,True,10000,1000,1000,4.983332,1.7282220125198364,0.0,10.0,5.0,5.0,1.7412289381027222,4.9497094,1.7057679891586304,0.0,10.0,5.0,5.0,1.7756892442703247,5.023909,1.709650993347168,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,31,0.5571446707294245,0.572094114497304,0.5629836264997721
deepsets_mlp_sum,1,10,251,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,93,0.014603866712089367,0.011145804397528991,0.012339958368102089
deepsets_mlp_max,1,10,251,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,44,0.1491707892269845,0.1699426588602364,0.16983359586447477
deepsets_mlp_fspool,1,10,361,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,94,0.16385284522963559,0.1716240702662617,0.16056295344606042
mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,94,0.2709958048383142,0.320249960757792,0.27727498952299356
sorted_mlp,1,10,121,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,179,0.41953349009061314,0.4262299807742238,0.41995056718587875
pna,1,10,141,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,85,0.000116929818901484,8.100405671029876e-05,7.797127477715549e-05
small_set_transformer,1,10,37953,10,0,10,mean,False,10000,1000,1000,5.0057755,1.53163480758667,0.0,10.0,5.0,5.0,1.7412289381027222,5.004848,1.460964560508728,0.0,10.0,5.0,5.0,1.7756892442703247,4.9812965,1.4991260766983032,0.0,10.0,5.0,5.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,min-results.csv,mse,31,0.38530023291612125,0.37854453828185797,0.39485714584589005
deepsets_mlp_sum,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,65,0.052969067292228625,0.05131888249889016,0.049016500473953784
deepsets_mlp_max,1,10,251,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,31,0.46490886465759035,0.4348243558779359,0.5000669732689857
deepsets_mlp_fspool,1,10,361,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,139,0.1866401599328609,0.14590671798214316,0.15323429252021015
mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,241,0.2816932255010696,0.24678391125053167,0.29104494117200375
sorted_mlp,1,10,121,10,0,10,mean,True,10000,1000,1000,5.0026436,1.7038722038269043,0.0,10.0,5.0,5.0,1.7536474466323853,5.059591,1.6599880456924438,0.0,10.0,5.0,4.0,1.768372893333435,5.03355,1.7395821809768677,0.0,10.0,5.0,5.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,50.0,False,True,min-results.csv,mse,199,0.6680266879926062,0.685412248596549,0.6980292238295078
