type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,361,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,44,1.8753299977443185,1.706150934100151,1.6958173960447311
deepsets_mlp_max,1,10,361,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,57,1.7683576904106773,1.6349647417664528,1.6136018112301826
deepsets_mlp_fspool,1,10,471,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,109,1.1093629382324575,1.0356442332267761,1.018179189413786
mlp,1,10,231,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,73,2.0395227078147626,2.02278570830822,2.045988216996193
sorted_mlp,1,10,231,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,73,1.7934160612955061,1.893999621272087,1.86454126983881
pna,1,10,251,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,77,1.5615701399349085,1.4574118703603745,1.4547862187027931
small_set_transformer,1,10,38603,10,0,10,mode,True,10000,1000,1000,3.6246,3.059718098126035,0.0,10.0,3.0,0.0,1.7412289381027222,3.533,3.1072352662777245,0.0,10.0,3.0,0.0,1.7756892442703247,3.634,3.0367818492608256,0.0,10.0,3.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,79,0.16326609919339138,0.12331000715494156,0.132954612839967
deepsets_mlp_sum,1,10,361,10,0,10,mode,False,10000,1000,1000,1.4595,2.2252100462652957,0.0,10.0,1.0,0.0,1.7412289381027222,1.352,2.1246402048346913,0.0,10.0,0.0,0.0,1.7756892442703247,1.384,2.1105790674599234,0.0,10.0,0.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,293,0.24241043626959202,0.12805451406165957,0.12844048533588648
deepsets_mlp_max,1,10,361,10,0,10,mode,False,10000,1000,1000,1.4595,2.2252100462652957,0.0,10.0,1.0,0.0,1.7412289381027222,1.352,2.1246402048346913,0.0,10.0,0.0,0.0,1.7756892442703247,1.384,2.1105790674599234,0.0,10.0,0.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,118,0.03213439570193675,0.01517691632034257,0.015230159042403102
deepsets_mlp_fspool,1,10,471,10,0,10,mode,False,10000,1000,1000,1.4595,2.2252100462652957,0.0,10.0,1.0,0.0,1.7412289381027222,1.352,2.1246402048346913,0.0,10.0,0.0,0.0,1.7756892442703247,1.384,2.1105790674599234,0.0,10.0,0.0,0.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,mode-results.csv,ce,103,0.05005795704358906,0.039875821967143565,0.04341544257476926
