type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,1,10,251,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,114,1.8099195069159351e-06,2.1011880058097177e-07,1.1801040145087427e-07
deepsets_mlp_max,1,10,251,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,49,119.43176155333306,120.55047106742859,122.2148003578186
deepsets_mlp_fspool,1,10,361,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,128,0.0010712614055615156,8.605579779441541e-06,9.409888747313744e-06
mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,66,2.1165946263009127e-05,4.179178372254455e-07,3.9867452983344265e-07
sorted_mlp,1,10,121,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,59,7.831987944459826e-05,1.293738122853938e-05,2.351938707079171e-05
pna,1,10,141,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,275,0.03492862865281333,0.03598510939627886,0.03219966543838382
small_set_transformer,1,10,37953,10,0,10,sum,True,10000,1000,1000,27.2548,16.281986236572266,0.0,79.0,26.0,10.0,1.7412289381027222,28.132,16.40019989013672,0.0,77.0,27.0,38.0,1.7756892442703247,27.96,16.22240447998047,0.0,74.0,27.0,7.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,82,0.0072982908076118045,0.0001724606681818841,0.00017364124505547807
deepsets_mlp_sum,1,10,251,10,0,10,sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,100,0.0017334205652866134,4.360896301847106e-07,4.751381883494332e-07
deepsets_mlp_max,1,10,251,10,0,10,sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,46,75.64766428273195,81.76951932907104,76.43776035308838
deepsets_mlp_fspool,1,10,361,10,0,10,sum,False,10000,1000,1000,27.2944,15.163341522216797,0.0,55.0,27.0,45.0,1.7412289381027222,28.109,15.165787696838379,0.0,55.0,28.0,9.0,1.7756892442703247,27.836,15.284799575805664,0.0,55.0,27.0,16.0,1.7639710903167725,500,15,1e-09,0.001,64,9,0.005,50.0,False,True,sum-results.csv,mse,171,4.211838269178666e-05,1.3308445886650588e-05,1.1813245890834878e-05
