type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,121,0.12013203889179001,0.05439633736386895,0.0477052703499794,0.1559160351753235,0.11431598663330078,1.274078369140625,0.024349914863705635,0.9997539877860948,0.01548274327069521,0.015214548446238041,0.047318839584477246
deepsets_mlp_fspool,1,5,7097,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,134,0.35848189463281327,0.2783806165680289,0.5073803067207336,0.39358705282211304,0.27012860774993896,12.91522216796875,0.036783184856176376,0.9973834808338392,0.02457348257303238,0.038406889885663986,0.5068076169118285
sorted_mlp,1,5,3453,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,174,5.323671243752644,5.953563168644905,8.29197883605957,1.860334873199463,1.281702995300293,37.133792877197266,0.15121644735336304,0.9572389378051851,0.08703393489122391,0.18153460323810577,8.235900446772575
mlp,1,5,3453,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,168,9.524186170784532,22.807255387306213,26.30879020690918,3.664233922958374,2.612179756164551,28.3448543548584,0.2894836366176605,0.8643276951420449,0.16750600934028625,0.3575621247291565,26.23128640651703
pna,1,5,3253,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,192,0.10094012721044243,0.12126238690689206,0.14456117153167725,0.2602206766605377,0.19741058349609375,4.876014709472656,0.03483954817056656,0.9992545097283381,0.022911803796887398,0.025392772629857063,0.14347067242488265
small_set_transformer,1,5,37953,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,34,1.8688909996087384,1.7610491774976254,1.3385831117630005,0.7366908192634583,0.5230445861816406,10.672750473022461,0.05302855744957924,0.9930970355956653,0.04240880906581879,0.0718875378370285,1.3319514282047749
mean_baseline,1,5,0,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,1,190.74044510576303,205.88924262897467,193.9165120837722,10.264572286934047,8.055298805236816,62.587578118014335,2.997242902622202,-1.1749408521888327e-05,0.3955485846283653,1.0016342963793141,193.9165120837722
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,232,0.2245673095914209,0.3054160703904927,0.21780267357826233,0.3014305830001831,0.20725810527801514,3.551502227783203,0.06890174746513367,0.9981168399168652,0.059900954365730286,0.0381227545440197,0.22401769924908876
deepsets_mlp_fspool,1,5,7097,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,192,0.038847938951128605,0.04566715157125145,0.049875080585479736,0.1413004994392395,0.09437257051467896,1.4690227508544922,0.02273821271955967,0.9995687713399413,0.023989183828234673,0.017870662733912468,0.0496029193745926
sorted_mlp,1,5,3453,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_final_desperate.csv,mse,True,158,4.22846719413806,6.7039234936237335,6.969066619873047,1.6020087003707886,1.0188989639282227,29.14647102355957,0.24872428178787231,0.9397442269717483,0.18097640573978424,0.20261047780513763,7.053663596510887
