type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6921,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,11,3.974584802059801,1.0270101092755795,1.1127396821975708,0.7865654826164246,0.6178779602050781,4.6663818359375,2095340978176.0,0.9999621270801006,0.019183404743671417,0.0060916258953511715,1.1089516654610634
deepsets_mlp_fspool,1,5,7097,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,10,11.720834108674602,6.33796451985836,6.294920921325684,1.6728007793426514,1.146061897277832,17.469696044921875,34080626311168.0,0.9997857476799068,0.047514528036117554,0.012955152429640293,6.275787577033043
sorted_mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,17,6.889005327300661,0.8785093426704407,1.0296924114227295,0.7376208305358887,0.5363540649414062,5.92767333984375,7521330790400.0,0.9999649536577278,0.026352208107709885,0.005712570156902075,1.0271248333156109
mlp,1,5,3453,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,22,1.069757586072205,0.784579012542963,0.7635580897331238,0.6330153942108154,0.45354175567626953,5.080772399902344,5473389510656.0,0.9999740117334963,0.022690607234835625,0.00490244384855032,0.766270074993372
pna,1,5,3253,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,16,10.349746723843229,12.570419251918793,15.050909042358398,2.549283266067505,1.9945883750915527,56.45367431640625,25394883330048.0,0.9994877311271728,0.06902897357940674,0.019743148237466812,15.046457648277283
small_set_transformer,1,5,37953,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,13,16.80982495796908,3.5742971897125244,3.840229034423828,1.5963406562805176,1.4042167663574219,6.654052734375,982549725184.0,0.9998692949465321,0.0461483933031559,0.012363001704216003,3.8356983065605164
deepsets_mlp_sum,1,5,6921,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,63,59.264193431586975,49.53431248664856,48.228858947753906,5.43167781829834,4.3055267333984375,26.80063247680664,0.11389961838722229,0.9903726922235354,0.09204334765672684,0.09643179178237915,48.079861640930176
deepsets_mlp_fspool,1,5,7097,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,33,52.89318287600378,36.383872270584106,43.190338134765625,4.840147018432617,3.5203170776367188,28.905227661132812,0.0731177031993866,0.9913784683843719,0.06362367421388626,0.0859299898147583,43.23032057285309
sorted_mlp,1,5,3453,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,51,26.06753947248884,35.219976246356964,24.145389556884766,1.8521718978881836,0.7458572387695312,60.17720031738281,0.10442675650119781,0.9951801666711766,0.06688427925109863,0.032882705330848694,23.688855350017548
mlp,1,5,3453,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_all.csv,mse,True,41,168.04493864023001,247.26976776123047,234.76133728027344,10.981724739074707,7.764469146728516,83.31552124023438,0.19292590022087097,0.9531376117841878,0.14981575310230255,0.19496507942676544,233.5869255065918
