type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,39,3.9794629235176524,2.49323707818985,2.4877939224243164,1.2162131071090698,1.0193099975585938,6.279266834259033,0.19343619048595428,0.9871706475607103,0.11247321963310242,0.11868012696504593,2.500138930976391
deepsets_mlp_fspool,1,5,7097,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,53,2.5354901666094545,1.1853243671357632,2.59722900390625,0.9077094793319702,0.6384782791137695,33.3565559387207,0.13854724168777466,0.9866063009137023,0.06583364307880402,0.0885758101940155,2.5785434283316135
sorted_mlp,1,5,3453,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,37,13.812026321508323,11.957137882709503,16.127689361572266,2.874647378921509,2.1890687942504883,32.75954818725586,0.3836211860179901,0.9168308118319288,0.15797820687294006,0.2805129289627075,16.69427800178528
mlp,1,5,3453,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,92,15.04189180264807,26.59511160850525,29.532371520996094,4.022791385650635,2.8901097774505615,29.766054153442383,0.3126632273197174,0.8477039590007083,0.19173428416252136,0.3925507664680481,29.29980492591858
pna,1,5,3253,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,53,1.9876939597403167,1.5688322857022285,1.8586580753326416,0.805370569229126,0.49163246154785156,9.687835693359375,0.1605319231748581,0.990415050976203,0.06381791085004807,0.07858941704034805,1.8431653901934624
small_set_transformer,1,5,37953,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,16,3.620555194320193,2.685842402279377,2.3495781421661377,1.0461972951889038,0.765599250793457,9.949111938476562,0.09378007054328918,0.9878834156238653,0.05885309353470802,0.10208968818187714,2.3455246686935425
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,51,3.996709478888542,3.5615317448973656,2.6165363788604736,0.9977723956108093,0.6800336837768555,15.237449645996094,0.18923115730285645,0.9773769689567747,0.16371379792690277,0.12619103491306305,2.6131898164749146
deepsets_mlp_fspool,1,5,7097,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,42,0.8556003109285026,0.5195035189390182,0.5263122320175171,0.5168712139129639,0.37834596633911133,3.226165771484375,0.07235410809516907,0.9954494118991739,0.07496610283851624,0.06537013500928879,0.537312712520361
sorted_mlp,1,5,3453,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,60,9.04861939788624,9.04444220662117,11.026659965515137,2.1692090034484863,1.4348058700561523,32.65037155151367,0.32852721214294434,0.9046615609219616,0.25437453389167786,0.2743458151817322,10.980169385671616
mlp,1,5,3453,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_sweep_des.csv,mse,True,29,31.60534247623128,44.415565848350525,43.44017791748047,4.638513565063477,3.2814836502075195,42.45692825317383,0.8173247575759888,0.6244085896157214,0.4374741315841675,0.5866456031799316,43.85202121734619
