type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
mean_baseline,1,5,0,16,-100,100,sum,True,10000,1000,1000,True,True,-0.3668999969959259,168.1516876220703,-651.0,754.0,0.0,64.0,10.216812248175412,2.086803913116455,-3.99399995803833,164.2848358154297,-620.0,642.0,-5.0,-94.0,12.379109561382256,2.0597832202911377,0.11699999868869781,171.40850830078125,-645.0,577.0,-0.5,76.0,12.497419739355918,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,28274.987284389998,27002.661818409997,29381.111470210002,128.463,95.3669,644.6331,3304741406565.469,-7.969782778172174e-06,1.9789508951069945,0.9948930570251844,29381.111470210002
mean_baseline,1,5,0,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,114.68070220947266,71.8364028930664,-186.0,200.0,138.0,175.0,8.043791981073115,2.086803913116455,111.77100372314453,74.47907257080078,-196.0,199.0,137.5,140.0,9.277367272019866,2.0597832202911377,113.48400115966797,70.77845764160156,-164.0,200.0,135.0,179.0,9.2260221918702,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,5160.46914751,5555.59891309,5011.021834890001,56.2353548,49.3193,278.6807,1.794411913722943,-0.0002858698941796689,0.5586711930216521,0.9983795572038503,5011.021834890001
mean_baseline,1,5,0,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,141.3885955810547,106.35830688476562,-254.0,299.0,169.0,224.0,8.898633764545366,2.086803913116455,137.08299255371094,108.2621078491211,-219.0,291.0,168.0,203.0,10.744868987806825,2.0597832202911377,139.20599365234375,106.37792205810547,-257.0,298.0,166.5,225.0,10.680200718918197,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,11312.087990040001,11739.22230236,11321.02530676,88.813824,82.3886,398.3886,636757646274438.0,-0.0004209643558570342,0.7043321469201993,1.0157697371309846,11321.02530676
mean_baseline,1,5,0,16,-100,100,max,True,10000,1000,1000,True,True,69.69439697265625,35.70718765258789,-100.0,100.0,82.0,99.0,6.490437317898961,2.086803913116455,67.85099792480469,38.106807708740234,-100.0,100.0,81.0,100.0,7.211467560388762,2.0597832202911377,69.59500122070312,36.1907844543457,-98.0,100.0,83.0,100.0,7.112958647154782,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,1275.0032086400001,1455.5269225599998,1309.78285536,26.121182400000002,21.6944,167.6944,627751347739621.6,-7.543566853618344e-06,0.42061557858338766,1.0277860993730557,1309.78285536
mean_baseline,1,5,0,16,-100,100,cardinality,True,10000,1000,1000,True,True,8.441100120544434,4.614968299865723,1.0,16.0,8.0,6.0,4.002828430443463,2.086803913116455,8.277000427246094,4.680200099945068,1.0,16.0,8.0,15.0,4.027603870085169,2.0597832202911377,8.32800006866455,4.660731315612793,1.0,16.0,8.0,1.0,4.021229360041877,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,21.29793079,21.93119981,21.735207609999996,4.058822,4.4411000000000005,7.5588999999999995,1.2222070776735765,-0.0005888668184972357,0.5533101078310654,1.011292650241524,21.735207609999996
mean_baseline,1,5,0,16,-100,100,largest_contiguous_sum,True,10000,1000,1000,True,True,209.327392578125,153.24949645996094,-100.0,819.0,191.0,156.0,9.8340131138317,2.086803913116455,202.9409942626953,150.5286407470703,-100.0,697.0,189.0,33.0,12.09913185392815,2.0597832202911377,207.7729949951172,156.00286865234375,-98.0,724.0,185.0,76.0,12.232210145040867,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,23485.406809239998,22699.659623960004,24339.30963036,129.28570440000001,120.32740000000001,514.6726,1885453601276872.8,-9.927969495704403e-05,0.692804291744442,1.033867515687186,24339.30963036
mean_baseline,1,5,0,16,-100,100,longest_seq_length,True,10000,1000,1000,True,True,1.4402999877929688,0.5853511095046997,1.0,5.0,1.0,1.0,1.1783930297983654,2.086803913116455,1.4179999828338623,0.5824741125106812,1.0,4.0,1.0,1.0,1.1672353764941201,2.0597832202911377,1.4620000123977661,0.6344730257987976,1.0,7.0,1.0,1.0,1.2417172636717295,2.063805103302002,500,5,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,0.34263591000000004,0.33977329,0.4030268900000001,0.5491794,0.4402999999999999,5.5597,0.3891965928571427,-0.0011697502956113937,0.36791040368355166,1.0318370108341692,0.4030268900000001
mean_baseline,1,5,0,16,-100,100,sum,True,10000,1000,1000,True,True,-0.9587000012397766,169.31668090820312,-762.0,719.0,0.0,10.0,10.227813578908773,2.096096992492676,13.741000175476074,163.68128967285156,-1010.0,541.0,12.0,-58.0,12.210181733183001,2.1014459133148193,6.072000026702881,171.2257537841797,-674.0,713.0,4.5,109.0,12.53183873332603,2.0974459648132324,500,5,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,28668.136794309998,27007.64509909,29367.69155849,128.854761,95.5,713.9587,12952802888281.28,-0.0016860052784244406,1.950472812610868,0.9932095378544137,29367.69155849
mean_baseline,1,5,0,16,-100,100,largest_pair_sum,True,10000,1000,1000,True,True,115.29209899902344,71.6905517578125,-189.0,200.0,138.0,171.0,8.032171847142987,2.096096992492676,118.40699768066406,69.26769256591797,-148.0,200.0,142.0,178.0,9.171251804993185,2.1014459133148193,115.75800323486328,73.02177429199219,-193.0,200.0,140.0,144.0,9.204635257025135,2.0974459648132324,500,5,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,5139.5349775899995,4807.715953010001,5332.396498810001,56.490548800000006,47.707899999999995,308.2921,1038458917197525.4,-4.070808430323147e-05,0.542832482354404,1.0051100454797575,5332.396498810001
mean_baseline,1,5,0,16,-100,100,largest_triple_sum,True,10000,1000,1000,True,True,142.1923065185547,106.3336410522461,-232.0,299.0,170.0,233.0,8.88971245748785,2.096096992492676,147.60699462890625,102.338623046875,-217.0,295.0,178.0,218.0,10.511621724249252,2.1014459133148193,145.05099487304688,106.31729125976562,-249.0,293.0,173.0,240.0,10.615957432458003,2.0974459648132324,500,5,1e-09,0.001,64,99,0.005,10.0,0.75,5,False,True,master_baseline.csv,mse,True,1,11306.84272071,10502.513527089997,11311.53856469,86.81823240000001,78.80770000000001,391.1923,1280754378589909.2,-0.0007229851180194924,0.6617615392105825,0.9905345034987569,11311.53856469
