type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
mlp,1,8,3053,8,-100,100,sum,True,10000,1000,1000,-1.7207,120.6064453125,-526.0,558.0,-1.0,12.0,1.5935304164886475,-2.551,119.95564270019531,-405.0,410.0,-4.0,-14.0,1.5713962316513062,-0.85,123.9687271118164,-378.0,443.0,-3.0,-32.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,61,0.19662203191287198,0.08532413514330983,0.08344504982233047,0.21087905764579773,0.15069580078125,1.7915658950805664,8087665115136.0,0.9999945702941574,0.08414979372173548
mlp,1,8,3453,16,-100,100,sum,True,10000,1000,1000,-0.3669,168.1516876220703,-651.0,754.0,0.0,64.0,2.086803913116455,-3.994,164.2848358154297,-620.0,642.0,-5.0,-94.0,2.0597832202911377,0.117,171.40850830078125,-645.0,577.0,-0.5,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,71,0.4514900475360785,0.14471044391393661,0.14100918173789978,0.268827348947525,0.19458556175231934,1.5613555908203125,2176080936960.0,0.9999952006478728,0.14031221019104123
mlp,1,8,4253,32,-100,100,sum,True,10000,1000,1000,-0.4234,232.7130126953125,-1048.0,1091.0,-1.0,-37.0,2.649203062057495,9.993,224.57327270507812,-678.0,910.0,9.0,-24.0,2.618053913116455,-9.602,225.84738159179688,-965.0,795.0,-9.5,-94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,61,1.4774026054485587,0.8439534083008766,0.8386216759681702,0.6874798536300659,0.5041999816894531,3.6821823120117188,6110197579776.0,0.9999835587069672,0.835915744304657
mlp,1,8,5853,64,-100,100,sum,True,10000,1000,1000,-4.5196,325.7957458496094,-1483.0,1420.0,-1.0,-75.0,3.2619073390960693,-11.477,317.8013916015625,-1141.0,1006.0,-13.0,62.0,3.2282028198242188,2.993,327.67236328125,-1295.0,1077.0,2.5,-134.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,77,4.7280333452163985,2.5658242851495743,2.397491216659546,1.121165156364441,0.8302650451660156,6.549652099609375,7682608594944.0,0.9999776705832932,2.4415623918175697
mlp,1,8,9053,128,-100,100,sum,True,10000,1000,1000,-11.7718,464.27020263671875,-1990.0,2092.0,-7.0,-3.0,3.906660556793213,-5.877,438.42767333984375,-1563.0,1629.0,6.5,37.0,3.873002052307129,7.352,455.4123840332031,-1729.0,1765.0,5.5,-120.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,62,24.26328023072261,15.000636875629425,16.07665252685547,2.9178972244262695,2.087291717529297,17.76727294921875,3812541071360.0,0.999922484977191,16.032369196414948
mlp,1,8,15453,256,-100,100,sum,True,10000,1000,1000,-12.4342,650.7060546875,-3095.0,3029.0,-10.0,-264.0,4.571545124053955,-22.822,618.7774658203125,-2378.0,2289.0,-11.5,-93.0,4.538384914398193,-12.812,627.735595703125,-2636.0,2424.0,-15.0,-66.0,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,59,103.02077598328803,67.74406933784485,71.8703384399414,6.124165058135986,4.243927001953125,40.714111328125,0.04823022708296776,0.9998176120542273,71.4746458530426
mlp,1,8,28253,512,-100,100,sum,True,10000,1000,1000,-21.4571,919.6292724609375,-4042.0,4570.0,-12.0,-207.0,5.248648166656494,-54.368,904.8175659179688,-3693.0,3333.0,-40.5,-42.0,5.216047763824463,-17.564,891.1109619140625,-3278.0,3098.0,-19.5,-544.0,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,65,443.11734611365443,352.4229917526245,407.40350341796875,14.145408630371094,9.549224853515625,89.00188446044922,0.09540043026208878,0.999486948227064,409.9507541656494
mlp,1,8,53853,1024,-100,100,sum,True,10000,1000,1000,-34.4043,1307.7252197265625,-6249.0,6689.0,-29.5,211.0,5.932857990264893,13.265,1292.8341064453125,-4437.0,5348.0,1.0,282.0,5.900405406951904,-48.561,1267.7017822265625,-6106.0,4942.0,-57.0,268.0,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,91,1449.1209456328374,1308.9578247070312,1483.1180419921875,27.500253677368164,18.28363037109375,164.283935546875,0.10297967493534088,0.9990771279758244,1481.1750297546387
mlp,1,8,3053,8,-100,100,largest_pair_sum,True,10000,1000,1000,75.3149,77.86625671386719,-195.0,200.0,89.0,143.0,1.5935304164886475,71.506,79.5936279296875,-175.0,199.0,83.0,126.0,1.5713962316513062,71.876,82.15796661376953,-190.0,198.0,85.0,68.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,99,44.74107481112146,53.0198529958725,61.555171966552734,4.506921768188477,2.6634559631347656,69.6358871459961,49115769602048.0,0.9908806216209619,60.72268795967102
mlp,1,8,3453,16,-100,100,largest_pair_sum,True,10000,1000,1000,114.6807,71.8364028930664,-186.0,200.0,138.0,175.0,2.086803913116455,111.771,74.47907257080078,-196.0,199.0,137.5,140.0,2.0597832202911377,113.484,70.77845764160156,-164.0,200.0,135.0,179.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-set-sizes-results.csv,mse,231,75.35805868646901,139.73874378204346,167.48171997070312,8.544336318969727,5.652702331542969,95.29236602783203,0.1398487240076065,0.9665677751892581,165.53245639801025
