type,data_dim,latent_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,cache,use_cached,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,lr_scheduler_factor,lr_scheduler_patience,use_batch_sampler,use_gpu,results_out,loss,gpu_enabled,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,test_smape,test_mase,avg_test_loss
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,136,0.039031012185439945,0.031281662289984524,0.03352302685379982,0.13811378180980682,0.11265945434570312,1.1065673828125,0.022658241912722588,0.9998271244804904,0.016468117013573647,0.01347737479954958,0.03348183038178831
deepsets_ds1t,1,5,6566,16,-100,100,desperate_student_1_tuple,True,10000,1000,1000,True,True,-28.84724998474121,13.810880661010742,-95.39482879638672,4.605170249938965,-28.242870330810547,-26.75482940673828,23.159636676525793,2.086803913116455,-28.93362045288086,14.348581314086914,-95.39482879638672,4.555170059204102,-28.10750961303711,0.19517017900943756,17.56425007561714,2.0597832202911377,-28.89498519897461,13.925308227539062,-91.43482971191406,4.5651702880859375,-28.642011642456055,-3.8048298358917236,17.603662087777423,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,299,0.0032579934626378736,0.0033225991937797517,0.003086256328970194,0.04498157650232315,0.03972148895263672,0.18349075317382812,0.004295575898140669,0.9999840844262065,0.004334134981036186,0.004389377776533365,0.0030720965878572315
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,167,0.32793813065928257,0.379755319096148,0.33123457431793213,0.3550950288772583,0.2232673168182373,4.824008941650391,0.07774338126182556,0.9971360876504498,0.07178356498479843,0.044909849762916565,0.33425517100840807
deepsets_ds1t,1,5,6566,16,-100,100,desperate_student_2_tuple,True,10000,1000,1000,True,True,-11.815999031066895,10.799138069152832,-92.11412048339844,4.600157737731934,-10.70368480682373,3.9069979190826416,22.93610238657156,2.086803913116455,-11.7402982711792,10.811325073242188,-90.1633529663086,4.550957202911377,-10.794469833374023,3.9069979190826416,17.14100587717516,2.0597832202911377,-11.41878890991211,10.75444507598877,-73.53300476074219,4.580357551574707,-10.441976547241211,3.9069979190826416,17.022798902716907,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,261,0.09839719760522342,0.10783028905279934,0.09227067977190018,0.1956503540277481,0.12141287326812744,2.0870513916015625,0.04222288355231285,0.9992022115591797,0.035946350544691086,0.024744441732764244,0.09157815156504512
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_3_tuple,True,10000,1000,1000,True,True,-5.191922664642334,7.998368740081787,-77.06880187988281,4.595153331756592,-3.957172393798828,4.189680099487305,22.211627423799737,2.086803913116455,-5.0944695472717285,8.033868789672852,-65.3934555053711,4.562623977661133,-3.9715347290039062,4.189680099487305,16.64163140462714,2.0597832202911377,-5.2782697677612305,8.584771156311035,-72.16432189941406,4.581997394561768,-3.834491729736328,4.189680099487305,16.78014652739008,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,204,0.22776232970653065,0.2344523798674345,0.3904925286769867,0.2720826268196106,0.154044508934021,11.50747299194336,0.12447918206453323,0.9947014715350059,0.10208738595247269,0.04719405248761177,0.3931151474826038
deepsets_ds1t,1,5,6566,16,-100,100,desperate_student_3_tuple,True,10000,1000,1000,True,True,-5.191922664642334,7.998368740081787,-77.06880187988281,4.595153331756592,-3.957172393798828,4.189680099487305,22.211627423799737,2.086803913116455,-5.0944695472717285,8.033868789672852,-65.3934555053711,4.562623977661133,-3.9715347290039062,4.189680099487305,16.64163140462714,2.0597832202911377,-5.2782697677612305,8.584771156311035,-72.16432189941406,4.581997394561768,-3.834491729736328,4.189680099487305,16.78014652739008,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,124,0.22975100557895223,0.29711356526240706,0.33069729804992676,0.30264049768447876,0.16364002227783203,6.114097595214844,0.16578136384487152,0.9955128231618764,0.11935818195343018,0.052494462579488754,0.3299880512058735
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_4_tuple,True,10000,1000,1000,True,True,-2.006991147994995,6.138935089111328,-76.00182342529297,4.590157985687256,-0.7745119333267212,4.302468776702881,21.702189386719617,2.086803913116455,-1.7895981073379517,5.677821159362793,-36.90192413330078,4.565860271453857,-0.7399917840957642,4.302468776702881,16.369789175596825,2.0597832202911377,-1.990619421005249,6.406848907470703,-61.4211311340332,4.5803070068359375,-0.6232845783233643,4.302468776702881,16.548945229703648,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,204,0.2089388422834076,0.08615480619482696,0.10832138359546661,0.16422195732593536,0.10052192211151123,6.342327117919922,0.15714265406131744,0.9973610860468545,0.10434825718402863,0.03779829293489456,0.10826229699887335
deepsets_ds1t,1,5,6566,16,-100,100,desperate_student_4_tuple,True,10000,1000,1000,True,True,-2.006991147994995,6.138935089111328,-76.00182342529297,4.590157985687256,-0.7745119333267212,4.302468776702881,21.702189386719617,2.086803913116455,-1.7895981073379517,5.677821159362793,-36.90192413330078,4.565860271453857,-0.7399917840957642,4.302468776702881,16.369789175596825,2.0597832202911377,-1.990619421005249,6.406848907470703,-61.4211311340332,4.5803070068359375,-0.6232845783233643,4.302468776702881,16.548945229703648,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,157,0.11201567996506857,0.08410252770408988,0.090645432472229,0.15345202386379242,0.07231592386960983,4.519649505615234,0.24070397019386292,0.9977917056525748,0.09275055676698685,0.03531942516565323,0.09178945235908031
deepsets_mlp_sum,1,5,6921,16,-100,100,desperate_student_5_tuple,True,10000,1000,1000,True,True,-0.271603524684906,4.832959175109863,-60.22740936279297,4.585170745849609,0.8487303853034973,4.362020492553711,21.2758704570416,2.086803913116455,-0.059640709310770035,4.493760108947754,-31.985050201416016,4.565779685974121,0.942103385925293,4.362020492553711,16.209367229910242,2.0597832202911377,-0.2878013253211975,5.445472717285156,-60.985939025878906,4.577297687530518,0.9995380640029907,4.362020492553711,16.45270093942564,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,120,0.2149490372983703,0.07008062407840043,1.4413774013519287,0.20923462510108948,0.10586005449295044,28.467662811279297,0.2098788321018219,0.9513921309830013,0.1410747766494751,0.0618673674762249,1.4087649718858302
deepsets_ds1t,1,5,6566,16,-100,100,desperate_student_5_tuple,True,10000,1000,1000,True,True,-0.271603524684906,4.832959175109863,-60.22740936279297,4.585170745849609,0.8487303853034973,4.362020492553711,21.2758704570416,2.086803913116455,-0.059640709310770035,4.493760108947754,-31.985050201416016,4.565779685974121,0.942103385925293,4.362020492553711,16.209367229910242,2.0597832202911377,-0.2878013253211975,5.445472717285156,-60.985939025878906,4.577297687530518,0.9995380640029907,4.362020492553711,16.45270093942564,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,0.75,5,False,True,dst-opt-vs-non-opt-revised-results.csv,mse,False,159,0.061950581166062765,0.04546282917726785,0.3058542311191559,0.13550487160682678,0.0670238733291626,14.431991577148438,0.11979947239160538,0.9896856157738133,0.10227198153734207,0.040066637098789215,0.2991901497589424
