type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
deepsets_mlp_fspool,1,8,6201,8,-100,100,longest_seq_length,True,10000,1000,1000,2.8167,1.8482158184051514,1.0,8.0,2.0,1.0,1.5942808389663696,2.847,1.8642935752868652,1.0,8.0,2.0,1.0,1.6074562072753906,2.83,1.9034442901611328,1.0,8.0,2.0,1.0,1.581365942955017,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,146,0.15279454158939373,0.1414383198134601,0.15686824917793274,0.25984814763069153,0.1441882848739624,2.182161808013916,0.13411761820316315,0.9567033073767466,0.15588310034945607
deepsets_mlp_fspool,1,8,7097,16,-100,100,longest_seq_length,True,10000,1000,1000,4.8908,3.603647470474243,1.0,16.0,4.0,2.0,2.091695785522461,4.926,3.650825262069702,1.0,16.0,4.0,1.0,2.1009390354156494,4.963,3.8368778228759766,1.0,16.0,4.0,1.0,2.0765628814697266,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,74,0.5885700040562137,0.49209977872669697,0.5407435297966003,0.5475308299064636,0.41631412506103516,3.4108638763427734,0.18255411088466644,0.9632687766403863,0.5385265629738569
deepsets_mlp_fspool,1,8,8889,32,-100,100,longest_seq_length,True,10000,1000,1000,9.1299,7.251208305358887,1.0,32.0,7.0,2.0,2.6542019844055176,9.114,7.206871509552002,1.0,32.0,7.0,2.0,2.683840274810791,9.416,7.441837310791016,1.0,32.0,7.0,2.0,2.6701650619506836,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,63,1.7195805478247868,1.453143559396267,1.3791030645370483,0.8826112151145935,0.6839256286621094,5.066250324249268,0.1639503836631775,0.9750978790585697,1.3654798865318298
deepsets_mlp_fspool,1,8,12473,64,-100,100,longest_seq_length,True,10000,1000,1000,18.134,14.850409507751465,1.0,64.0,14.0,2.0,3.265380859375,17.876,14.517804145812988,1.0,62.0,13.5,4.0,3.2791078090667725,18.156,14.922991752624512,1.0,63.0,14.0,3.0,3.2431869506835938,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,24,6.879280889110201,4.967946410179138,5.668511390686035,1.7104830741882324,1.2511855363845825,11.057880401611328,0.21451306343078613,0.9745459298861665,5.645718947052956
deepsets_mlp_fspool,1,8,19641,128,-100,100,longest_seq_length,True,10000,1000,1000,37.717,31.198516845703125,1.0,128.0,29.0,2.0,3.914503574371338,38.172,30.963890075683594,1.0,126.0,31.0,2.0,3.9179515838623047,37.7,30.94078254699707,1.0,126.0,30.0,1.0,3.8802285194396973,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,70,11.306971622880097,10.74507650732994,10.848154067993164,2.3495123386383057,1.6790385246276855,16.805755615234375,0.16202756762504578,0.9886683471357615,10.913982212543488
deepsets_mlp_fspool,1,8,6201,8,-100,100,largest_contiguous_sum,True,10000,1000,1000,106.5284,94.77655029296875,-100.0,580.0,97.0,98.0,1.5935304164886475,102.543,98.34735107421875,-98.0,437.0,93.0,33.0,1.5713962316513062,105.512,100.7816390991211,-100.0,488.0,92.0,69.0,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,42,8.83012955963232,8.333043206483126,2.0396549701690674,0.7526108026504517,0.5467815399169922,30.89482879638672,27445231091712.0,0.999799186024991,2.0181042067706585
deepsets_mlp_fspool,1,8,7097,16,-100,100,largest_contiguous_sum,True,10000,1000,1000,209.3274,153.24949645996094,-100.0,819.0,191.0,156.0,2.086803913116455,202.941,150.5286407470703,-100.0,697.0,189.0,33.0,2.0597832202911377,207.773,156.00286865234375,-98.0,724.0,185.0,76.0,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,96,6.572731250125891,4.682230543345213,6.525907516479492,0.7537007927894592,0.4769935607910156,54.99732208251953,1582234861568.0,0.9997318512481398,6.389527665451169
deepsets_mlp_fspool,1,8,8889,32,-100,100,largest_contiguous_sum,True,10000,1000,1000,410.1854,268.93426513671875,-100.0,1450.0,391.0,97.0,2.649203062057495,406.082,273.1595764160156,-99.0,1249.0,385.0,392.0,2.618053913116455,398.226,267.8840637207031,-94.0,1170.0,372.5,94.0,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,20,41.245011032007305,22.45632604509592,35.11461639404297,2.1040587425231934,0.9656829833984375,47.7612190246582,0.08126027882099152,0.9995106786069393,36.157335475087166
deepsets_mlp_fspool,1,8,12473,64,-100,100,largest_contiguous_sum,True,10000,1000,1000,806.3981,495.7025451660156,-100.0,2595.0,784.0,202.0,3.2619073390960693,789.287,505.3406677246094,-94.0,2111.0,772.5,331.0,3.2282028198242188,798.072,504.1612854003906,-90.0,2214.0,781.0,195.0,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,67,149.87959616882785,14.156124740839005,9.068129539489746,1.2833256721496582,0.865966796875,34.937767028808594,0.029526393860578537,0.9999643237888648,8.880658060312271
deepsets_mlp_fspool,1,8,19641,128,-100,100,largest_contiguous_sum,True,10000,1000,1000,1600.838,965.1260375976562,-99.0,4331.0,1579.0,548.0,3.906660556793213,1572.262,978.936767578125,-64.0,4120.0,1572.0,117.0,3.873002052307129,1591.27,988.899169921875,-86.0,4169.0,1539.5,96.0,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,deepsets_mlp_fspool-diff-task-sizes-results.csv,mse,34,475.51338692227745,31.207555770874023,34.4136962890625,2.7675223350524902,1.982666015625,85.32630920410156,0.012452680617570877,0.9999648093477563,34.01523953676224
