type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_mse,test_mae,test_med_ae,test_max_error,test_mape,test_r2,avg_test_loss
pna,1,10,141,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,203,0.09627003367444512,0.09531397419050336,0.10507174581289291,0.2459549754858017,0.18983936309814453,1.2517623901367188,46760525824.0,0.9996262648555847,0.10515549266710877
deepsets_mlp_sum,1,10,251,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,31,0.00043609779016492935,0.00015135946796362987,0.00014927485608495772,0.009401554241776466,0.008479118347167969,0.03910064697265625,358630293504.0,0.9999994690365348,0.00014837566050118767
deepsets_mlp_sum,1,10,53,10,0,10,sum,True,10000,1000,1000,27.4814,16.09221649169922,0.0,81.0,26.0,10.0,1.7536474466323853,28.165,15.961634635925293,0.0,73.0,27.0,20.0,1.768372893333435,27.602,16.7672176361084,0.0,77.0,26.0,17.0,1.7461247444152832,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,132,562.8970161972532,333.1064147949219,335.2131042480469,14.587369918823242,12.51607894897461,49.85400390625,152704223543296.0,-0.19233681263344504,336.62291145324707
deepsets_mlp_sum,1,16,165,16,0,10,sum,True,10000,1000,1000,42.2939,24.559085845947266,0.0,112.0,41.0,18.0,2.096096992492676,42.303,24.481895446777344,0.0,108.0,42.0,14.0,2.1014459133148193,42.793,24.526803970336914,0.0,112.0,41.0,35.0,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,23,1399.0050659179688,906.9949340820312,919.0917358398438,25.833234786987305,24.32501983642578,72.66710662841797,64640348323840.0,-0.5278365233159412,922.1161079406738
deepsets_mlp_sum,1,16,165,16,0,10,sum,True,10000,1000,1000,42.2939,24.559085845947266,0.0,112.0,41.0,18.0,2.096096992492676,42.303,24.481895446777344,0.0,108.0,42.0,14.0,2.1014459133148193,42.793,24.526803970336914,0.0,112.0,41.0,35.0,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,39,0.006239535115365603,5.099871350466856e-05,5.744531881646253e-05,0.005713457707315683,0.004543304443359375,0.02855682373046875,60297363456.0,0.9999999045067404,5.705085413865163e-05
deepsets_mlp_sum,1,16,165,16,-500,500,sum,True,10000,1000,1000,1.8243,840.8890991210938,-3858.0,4332.0,12.0,449.0,2.096096992492676,-36.568,838.0513916015625,-2825.0,3150.0,-43.0,-844.0,2.1014459133148193,-14.789,858.609619140625,-3248.0,2886.0,-40.0,-37.0,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,29,1.9691623367820006,0.10753223486244678,0.11020129173994064,0.26540955901145935,0.219207763671875,1.20068359375,0.0015338442754000425,0.9999998505158235,0.10983306495472789
deepsets_mlp_sum,1,32,377,32,-500,500,sum,True,10000,1000,1000,-3.1465,1150.24755859375,-5024.0,5344.0,-18.0,-407.0,2.6601147651672363,-4.156,1232.96142578125,-3731.0,5185.0,2.0,440.0,2.666325569152832,12.667,1182.8216552734375,-4641.0,4065.0,11.5,66.0,2.664741277694702,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,32,7.631619075775906,0.7654702253639698,0.670893669128418,0.5652689337730408,0.40706634521484375,5.4889373779296875,8500983365632.0,0.9999995204706842,0.6720665190368891
deepsets_mlp_sum,1,64,1125,64,-500,500,sum,True,10000,1000,1000,11.5745,1633.0758056640625,-8424.0,8229.0,-8.0,341.0,3.274092674255371,21.844,1672.475341796875,-4885.0,6646.0,-8.0,-1035.0,3.2827086448669434,77.122,1660.5008544921875,-5570.0,6706.0,-47.5,-136.0,3.2797882556915283,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,34,126.08470469371528,3.4848189055919647,3.98832368850708,1.4270755052566528,1.151702880859375,16.084991455078125,17384410710016.0,0.9999985535209309,3.940290406346321
deepsets_mlp_sum,1,16,553,16,-100,100,sum,True,10000,1000,1000,-0.9587,169.31668090820312,-762.0,719.0,0.0,10.0,2.096096992492676,13.741,163.68128967285156,-1010.0,541.0,12.0,-58.0,2.1014459133148193,6.072,171.2257537841797,-674.0,713.0,4.5,109.0,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,67,0.6902921569272639,0.012405751505866647,0.013035899959504604,0.09301863610744476,0.07990264892578125,0.44980621337890625,1150576361472.0,0.9999995553658533,0.01304745941888541
deepsets_mlp_sum,1,16,649,16,-100,100,sum,True,10000,1000,1000,-0.9587,169.31668090820312,-762.0,719.0,0.0,10.0,2.096096992492676,13.741,163.68128967285156,-1010.0,541.0,12.0,-58.0,2.1014459133148193,6.072,171.2257537841797,-674.0,713.0,4.5,109.0,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,False,results.csv,mse,37,88.62802085147541,16.2818461060524,15.565885543823242,2.6248202323913574,1.7848358154296875,26.435394287109375,12777688137728.0,0.9994690720067374,15.432926654815674
